,Unnamed: 0,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,handle,date_time,date,date_week,clean_tweet
0,0,Sun Sep 15 00:34:30 +0000 2019,238,📣 Volume up! Check out our official campaign song by @thestrumbellas! https://t.co/BQto4riyqL,[],1173032308359729152,1173032308359729152,en,"[{'display_url': 'pic.twitter.com/BQto4riyqL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1173032308359729152/video/1', 'id': 1173030577261502466, 'media_url': 'http://pbs.twimg.com/media/EEdx3mTWsAEXVMC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEdx3mTWsAEXVMC.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/BQto4riyqL', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 33767, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/640x360/aq8FvFcqvgJFvcMQ.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/pl/BHp2kJVWyhqGxzyM.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/480x270/lywHPGxc8qfXhrE9.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/1280x720/ymNxK22jme_Urpav.mp4?tag=13'}]}}]",,,,61,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 71054592, 'id_str': '71054592', 'name': 'The Strumbellas', 'screen_name': 'thestrumbellas'}]",@JustinTrudeau,2019-09-15 00:34:30+00:00,2019-09-15,2019-09-09,📣 volume check official campaign song thestrumbella http t.co/bqto4riyql
2,2,Sat Sep 14 23:11:46 +0000 2019,1464,My thoughts are with the families and loved ones of the students whose lives were taken too soon in last night's bus crash on Vancouver Island – and I’m wishing all those injured a full recovery.,[],1173011484324052992,1173011484324052992,en,,,,,200,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-14 23:11:46+00:00,2019-09-14,2019-09-09,think family love one student whose life take soon last night bu crash vancouver island – ’ wishing injure full recovery
4,4,Sat Sep 14 14:03:52 +0000 2019,2106,We said we’d get a good NAFTA deal - and that’s exactly what we did. We’ll always fight for hard-working Canadians and stand up to protect your jobs. https://t.co/G187XiNAwb,[],1172873603949481984,1172873603949481984,en,,"{'created_at': 'Sat Sep 14 13:34:05 +0000 2019', 'favorite_count': 1621, 'full_text': 'When it was time to push for a better NAFTA deal, @cafreeland and the Liberal team fought tooth and nail to protect your jobs. We have your back - and always will. https://t.co/zFU39QPfUV', 'hashtags': [], 'id': 1172866109038628864, 'id_str': '1172866109038628864', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/zFU39QPfUV', 'expanded_url': 'https://twitter.com/liberal_party/status/1172866109038628864/video/1', 'id': 1172682421424328704, 'media_url': 'http://pbs.twimg.com/media/EEY02QaXoAI6Qvx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEY02QaXoAI6Qvx.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/zFU39QPfUV', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 30097, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/pl/waz2XIl9swYx4U1l.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/1280x720/ouPVw9OUu4gJgf3t.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/640x360/WlK1kK5GA97Hf_cH.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/480x270/042krxS19luPjbDn.mp4?tag=13'}]}}], 'retweet_count': 526, 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [], 'user': {'id': 16397147, 'id_str': '16397147'}, 'user_mentions': [{'id': 203132018, 'id_str': '203132018', 'name': 'Chrystia Freeland', 'screen_name': 'cafreeland'}]}",1.1728661090386289e+18,1.1728661090386289e+18,369,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/liberal_party/status/1172866109038628864', 'url': 'https://t.co/G187XiNAwb'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-14 14:03:52+00:00,2019-09-14,2019-09-09,say ’ get good naftum deal ’ exactly ’ alway fight hard-working canadian stand protect ymy job http t.co/g187xinawb
6,6,Sat Sep 14 03:13:41 +0000 2019,4654,"I might be biased, but Montreal sure knows how to throw a rally. No better way to end this week than in my hometown with so many friends. https://t.co/1vIs7cwXxL",[],1172709979167645696,1172709979167645696,en,"[{'display_url': 'pic.twitter.com/1vIs7cwXxL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709979167645696/photo/1', 'id': 1172709972800614400, 'media_url': 'http://pbs.twimg.com/media/EEZNgclWsAA2sLA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNgclWsAA2sLA.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/1vIs7cwXxL'}, {'display_url': 'pic.twitter.com/1vIs7cwXxL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709979167645696/photo/1', 'id': 1172709972800675841, 'media_url': 'http://pbs.twimg.com/media/EEZNgclXoAE4Z6W.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNgclXoAE4Z6W.jpg', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/1vIs7cwXxL'}]",,,,479,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-14 03:13:41+00:00,2019-09-14,2019-09-09,might bias montreal sure know throw rally good way end thi week hometown many friend http t.co/1vis7cwxxl
8,8,Fri Sep 13 23:49:50 +0000 2019,930,"There’s really no place like home. I’m in Montreal tonight to celebrate the start of this exciting campaign - watch live: https://t.co/YhiKmbGqaG 

#ChooseForward https://t.co/7eCOzThSLk",[{'text': 'ChooseForward'}],1172658678194933760,1172658678194933760,en,"[{'display_url': 'pic.twitter.com/7eCOzThSLk', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172658678194933760/photo/1', 'id': 1172658621920010241, 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EEYezbpXYAEMQWt.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EEYezbpXYAEMQWt.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'large': {'w': 600, 'h': 338, 'resize': 'fit'}}, 'type': 'animated_gif', 'url': 'https://t.co/7eCOzThSLk', 'video_info': {'aspect_ratio': [300, 169], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EEYezbpXYAEMQWt.mp4'}]}}]",,,,143,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://lpc.ca/app9', 'url': 'https://t.co/YhiKmbGqaG'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-13 23:49:50+00:00,2019-09-13,2019-09-09,’ really place like home ’ montreal tonight celebrate start thi excite campaign watch live http t.co/yhikmbgqag chooseforward http t.co/7ecozthslk
10,10,Fri Sep 13 22:59:45 +0000 2019,870,This whole adventure started here: in Papineau. All these years later and I’m still inspired by - and grateful for - my amazing team &amp; all the hard work they put in - thank you! https://t.co/CjyHIJqI5E,[],1172646073476583424,1172646073476583424,en,"[{'display_url': 'pic.twitter.com/CjyHIJqI5E', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172646073476583424/photo/1', 'id': 1172646066480713734, 'media_url': 'http://pbs.twimg.com/media/EEYTYm_XkAYoplz.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYTYm_XkAYoplz.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/CjyHIJqI5E'}, {'display_url': 'pic.twitter.com/CjyHIJqI5E', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172646073476583424/photo/1', 'id': 1172646066598088710, 'media_url': 'http://pbs.twimg.com/media/EEYTYnbWkAYmlk0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYTYnbWkAYmlk0.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/CjyHIJqI5E'}, {'display_url': 'pic.twitter.com/CjyHIJqI5E', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172646073476583424/photo/1', 'id': 1172646066652663808, 'media_url': 'http://pbs.twimg.com/media/EEYTYnoXUAAR-ms.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYTYnoXUAAR-ms.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/CjyHIJqI5E'}]",,,,98,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-13 22:59:45+00:00,2019-09-13,2019-09-09,thi whole adventure start papineau year later ’ still inspire grateful amazing team amp hard work put thank http t.co/cjyhijqi5e
12,12,Fri Sep 13 22:06:17 +0000 2019,363,.@RejHebertPLC has a strong record of standing up for families in his community - and I know he’ll represent them well in Ottawa. Longueuil–Saint-Hubert is ready to #ChooseForward! https://t.co/fMIoJcm64c,[{'text': 'ChooseForward'}],1172632617373577216,1172632617373577216,en,"[{'display_url': 'pic.twitter.com/fMIoJcm64c', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172632617373577216/photo/1', 'id': 1172632607063977984, 'media_url': 'http://pbs.twimg.com/media/EEYHJKwWsAAXQeI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYHJKwWsAAXQeI.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/fMIoJcm64c'}, {'display_url': 'pic.twitter.com/fMIoJcm64c', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172632617373577216/photo/1', 'id': 1172632607449911296, 'media_url': 'http://pbs.twimg.com/media/EEYHJMMXkAArmCy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEYHJMMXkAArmCy.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/fMIoJcm64c'}]",,,,50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 1169022117599424512, 'id_str': '1169022117599424512', 'name': 'Réjean Hébert', 'screen_name': 'RejHebertPLC'}]",@JustinTrudeau,2019-09-13 22:06:17+00:00,2019-09-13,2019-09-09,rejhebertplc ha strong record stand family hi community know ’ represent well ottawa longueuil–saint-hubert ready chooseforward http t.co/fmiojcm64c
14,14,Fri Sep 13 19:26:31 +0000 2019,955,"Small businesses like Véhicules électriques Simon André in Trois-Rivières create good jobs and drive local economies. Here in Quebec, and across the country, we’re working together to make it even easier for SMEs to thrive. https://t.co/85bT2UrY6p",[],1172592410939076608,1172592410939076608,en,"[{'display_url': 'pic.twitter.com/85bT2UrY6p', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172592410939076608/video/1', 'id': 1172589562629111808, 'media_url': 'http://pbs.twimg.com/media/EEXh-e1WsAEKN7n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEXh-e1WsAEKN7n.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/85bT2UrY6p', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 78996, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172589562629111808/vid/480x270/3yC_GuFIABYiFaGc.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172589562629111808/vid/640x360/LJhfcTVn1Zgw5Xxm.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172589562629111808/vid/1280x720/l9lZ7qs3OMchucl2.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172589562629111808/pl/ferXxZwSgmMgfQrb.m3u8?tag=13'}]}}]",,,,180,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-13 19:26:31+00:00,2019-09-13,2019-09-09,small business like véhicule électrique simon andré trois-rivière create good job drive local economy quebec acros country ’ work together make even easy sme thrive http t.co/85bt2ury6p
16,16,Fri Sep 13 17:17:12 +0000 2019,4353,"Alberta has been key to Canada’s economic success over the course of our history. We’ll always invest in Alberta’s workers and families, and we’ll always have your back. #ChooseForward https://t.co/bOmiw9NUxe",[{'text': 'ChooseForward'}],1172559868257099776,1172559868257099776,en,"[{'display_url': 'pic.twitter.com/bOmiw9NUxe', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172559868257099776/video/1', 'id': 1172551755399344128, 'media_url': 'http://pbs.twimg.com/media/EEW-tB5XsAE-ipX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEW-tB5XsAE-ipX.jpg', 'sizes': {'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/bOmiw9NUxe', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 36703, 'variants': [{'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172551755399344128/vid/480x270/JaOlxtrY-utATt5W.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172551755399344128/vid/640x360/u19N5KCPFeRyXydd.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172551755399344128/pl/TY_lNvhAgxWiWgNa.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172551755399344128/vid/1280x720/qKPh-GXWFTOmPFrk.mp4?tag=13'}]}}]",,,,743,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-13 17:17:12+00:00,2019-09-13,2019-09-09,albertum ha key canada ’ economic succes course history ’ alway invest albertum ’ worker family ’ alway ymy back chooseforward http t.co/bomiw9nuxe
18,18,Fri Sep 13 13:02:00 +0000 2019,3420,Sending my best wishes to everyone celebrating the Mid-Autumn Festival today! https://t.co/yVTmkoWkCP,[],1172495645694996480,1172495645694996480,en,"[{'display_url': 'pic.twitter.com/yVTmkoWkCP', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172495645694996480/video/1', 'id': 1172494404382265344, 'media_url': 'http://pbs.twimg.com/media/EEWJ4mlXYAAsP2H.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEWJ4mlXYAAsP2H.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/yVTmkoWkCP', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 58600, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172494404382265344/vid/640x360/oqq1JcMpu09oHtNC.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172494404382265344/vid/1280x720/-zCFvJmlbvpRKWL0.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172494404382265344/pl/V9GeeP1l6DMR8xBt.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172494404382265344/vid/480x270/P82vTClYVoV3xveq.mp4?tag=13'}]}}]",,,,497,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau,2019-09-13 13:02:00+00:00,2019-09-13,2019-09-09,send best wish everyone celebrate mid-autumn festival today http t.co/yvtmkowkcp
