phrase,count,handle,total_count,rank
get_ahead,147,AndrewScheer,147,1.0
elxn43_cdnpoli,35,JustinTrudeau,56,2.0
elxn43_cdnpoli,18,ElizabethMay,56,2.0
elxn43_cdnpoli,1,MaximeBernier,56,2.0
elxn43_cdnpoli,1,theJagmeetSingh,56,2.0
elxn43_cdnpoli,1,AndrewScheer,56,2.0
time_get,55,AndrewScheer,55,3.0
time_get_ahead,53,AndrewScheer,53,4.0
conservative_government,45,AndrewScheer,45,5.0
justin_trudeau,33,AndrewScheer,43,6.0
justin_trudeau,8,theJagmeetSingh,43,6.0
justin_trudeau,2,ElizabethMay,43,6.0
climate_change,28,JustinTrudeau,42,7.0
climate_change,12,MaximeBernier,42,7.0
climate_change,1,theJagmeetSingh,42,7.0
climate_change,1,ElizabethMay,42,7.0
watch_live,35,AndrewScheer,40,8.0
watch_live,5,JustinTrudeau,40,8.0
new_conservative,38,AndrewScheer,38,9.0
prime_minister,28,AndrewScheer,36,11.0
prime_minister,5,theJagmeetSingh,36,11.0
prime_minister,2,MaximeBernier,36,11.0
prime_minister,1,ElizabethMay,36,11.0
new_conservative_government,36,AndrewScheer,36,12.0
help_get,35,AndrewScheer,36,10.0
help_get,1,MaximeBernier,36,10.0
help_get_ahead,35,AndrewScheer,35,13.0
put_money,32,AndrewScheer,33,14.0
put_money,1,MaximeBernier,33,14.0
last_night,13,AndrewScheer,30,15.0
last_night,6,JustinTrudeau,30,15.0
last_night,5,ElizabethMay,30,15.0
last_night,3,MaximeBernier,30,15.0
last_night,3,theJagmeetSingh,30,15.0
money_pockets,27,AndrewScheer,27,16.0
leadersdebate2019_elxn43,26,JustinTrudeau,27,17.0
leadersdebate2019_elxn43,1,AndrewScheer,27,17.0
leadersdebate2019_elxn43_cdnpoli,26,JustinTrudeau,26,18.0
plan_help,24,AndrewScheer,25,19.0
plan_help,1,JustinTrudeau,25,19.0
across_country,12,AndrewScheer,23,20.0
across_country,6,JustinTrudeau,23,20.0
across_country,5,theJagmeetSingh,23,20.0
tax_cut,19,AndrewScheer,21,21.0
tax_cut,2,JustinTrudeau,21,21.0
life_affordable,10,JustinTrudeau,20,22.0
life_affordable,5,theJagmeetSingh,20,22.0
life_affordable,4,AndrewScheer,20,22.0
life_affordable,1,ElizabethMay,20,22.0
gpc_climate,20,ElizabethMay,20,23.0
make_life,8,JustinTrudeau,19,26.0
make_life,7,theJagmeetSingh,19,26.0
make_life,3,AndrewScheer,19,26.0
make_life,1,MaximeBernier,19,26.0
justintrudeau_leadersdebate2019,19,JustinTrudeau,19,25.0
andrew_scheer,15,JustinTrudeau,19,27.0
andrew_scheer,3,MaximeBernier,19,27.0
andrew_scheer,1,theJagmeetSingh,19,27.0
across_canada,7,theJagmeetSingh,19,24.0
across_canada,6,AndrewScheer,19,24.0
across_canada,4,JustinTrudeau,19,24.0
across_canada,2,ElizabethMay,19,24.0
lower_taxes,11,MaximeBernier,18,30.0
lower_taxes,4,JustinTrudeau,18,30.0
lower_taxes,3,AndrewScheer,18,30.0
fight_climate,14,JustinTrudeau,18,29.0
fight_climate,3,MaximeBernier,18,29.0
fight_climate,1,theJagmeetSingh,18,29.0
canadians_get,14,AndrewScheer,18,28.0
canadians_get,2,theJagmeetSingh,18,28.0
canadians_get,2,JustinTrudeau,18,28.0
gpc_elxn43,17,ElizabethMay,17,31.0
make_sure,6,theJagmeetSingh,16,32.0
make_sure,5,JustinTrudeau,16,32.0
make_sure,2,MaximeBernier,16,32.0
make_sure,2,AndrewScheer,16,32.0
make_sure,1,ElizabethMay,16,32.0
get_ahead_watch,16,AndrewScheer,16,35.0
fight_climate_change,12,JustinTrudeau,16,33.0
fight_climate_change,3,MaximeBernier,16,33.0
fight_climate_change,1,theJagmeetSingh,16,33.0
cdnpoli_elxn43,9,JustinTrudeau,16,34.0
cdnpoli_elxn43,7,ElizabethMay,16,34.0
ahead_watch,16,AndrewScheer,16,36.0
liberal_government,12,JustinTrudeau,15,37.0
liberal_government,3,theJagmeetSingh,15,37.0
around_world,9,JustinTrudeau,15,38.0
around_world,5,AndrewScheer,15,38.0
around_world,1,theJagmeetSingh,15,38.0
young_people,14,theJagmeetSingh,14,43.0
universal_tax_cut,14,AndrewScheer,14,39.0
universal_tax,14,AndrewScheer,14,44.0
tax_credit,12,AndrewScheer,14,48.0
tax_credit,2,MaximeBernier,14,48.0
plan_help_get,14,AndrewScheer,14,42.0
