,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,handle
0,Sun Sep 15 00:34:30 +0000 2019,238,📣 Volume up! Check out our official campaign song by @thestrumbellas! https://t.co/BQto4riyqL,[],1173032308359729152,1173032308359729152,en,"[{'display_url': 'pic.twitter.com/BQto4riyqL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1173032308359729152/video/1', 'id': 1173030577261502466, 'media_url': 'http://pbs.twimg.com/media/EEdx3mTWsAEXVMC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEdx3mTWsAEXVMC.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/BQto4riyqL', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 33767, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/640x360/aq8FvFcqvgJFvcMQ.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/pl/BHp2kJVWyhqGxzyM.m3u8?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/480x270/lywHPGxc8qfXhrE9.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173030577261502466/vid/1280x720/ymNxK22jme_Urpav.mp4?tag=13'}]}}]",,,,61,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 71054592, 'id_str': '71054592', 'name': 'The Strumbellas', 'screen_name': 'thestrumbellas'}]",@JustinTrudeau
1,Sun Sep 15 00:33:59 +0000 2019,83,📣Montez le son pour écouter notre chanson officielle de la campagne par @thestrumbellas! https://t.co/3xkjHoDOQS,[],1173032175987503104,1173032175987503104,fr,"[{'display_url': 'pic.twitter.com/3xkjHoDOQS', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1173032175987503104/video/1', 'id': 1173025795931082754, 'media_url': 'http://pbs.twimg.com/media/EEdxqNMXkAA82x0.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEdxqNMXkAA82x0.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/3xkjHoDOQS', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 33867, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1173025795931082754/pl/FoKQ9THhK3DuwpCe.m3u8?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173025795931082754/vid/640x360/GbixLA_ShHVp3zqr.mp4?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173025795931082754/vid/1280x720/9xc38jYy91YCp4YL.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1173025795931082754/vid/480x270/_bONKGYQnUrR52b-.mp4?tag=13'}]}}]",,,,15,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 71054592, 'id_str': '71054592', 'name': 'The Strumbellas', 'screen_name': 'thestrumbellas'}]",@JustinTrudeau
2,Sat Sep 14 23:11:46 +0000 2019,1464,My thoughts are with the families and loved ones of the students whose lives were taken too soon in last night's bus crash on Vancouver Island – and I’m wishing all those injured a full recovery.,[],1173011484324052992,1173011484324052992,en,,,,,200,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
3,Sat Sep 14 23:11:41 +0000 2019,190,"Mes pensées vont aux familles et aux proches des étudiants qui ont perdu la vie trop tôt dans l’accident d’autobus hier soir, sur l’île de Vancouver. Je souhaite à tous les blessés un rétablissement complet.",[],1173011463281291264,1173011463281291264,fr,,,,,25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
4,Sat Sep 14 14:03:52 +0000 2019,2106,We said we’d get a good NAFTA deal - and that’s exactly what we did. We’ll always fight for hard-working Canadians and stand up to protect your jobs. https://t.co/G187XiNAwb,[],1172873603949481984,1172873603949481984,en,,"{'created_at': 'Sat Sep 14 13:34:05 +0000 2019', 'favorite_count': 1621, 'full_text': 'When it was time to push for a better NAFTA deal, @cafreeland and the Liberal team fought tooth and nail to protect your jobs. We have your back - and always will. https://t.co/zFU39QPfUV', 'hashtags': [], 'id': 1172866109038628864, 'id_str': '1172866109038628864', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/zFU39QPfUV', 'expanded_url': 'https://twitter.com/liberal_party/status/1172866109038628864/video/1', 'id': 1172682421424328704, 'media_url': 'http://pbs.twimg.com/media/EEY02QaXoAI6Qvx.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEY02QaXoAI6Qvx.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/zFU39QPfUV', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 30097, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/pl/waz2XIl9swYx4U1l.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/1280x720/ouPVw9OUu4gJgf3t.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/640x360/WlK1kK5GA97Hf_cH.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682421424328704/vid/480x270/042krxS19luPjbDn.mp4?tag=13'}]}}], 'retweet_count': 526, 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [], 'user': {'id': 16397147, 'id_str': '16397147'}, 'user_mentions': [{'id': 203132018, 'id_str': '203132018', 'name': 'Chrystia Freeland', 'screen_name': 'cafreeland'}]}",1.1728661090386289e+18,1172866109038628864,369,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/liberal_party/status/1172866109038628864', 'url': 'https://t.co/G187XiNAwb'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
5,Sat Sep 14 14:03:43 +0000 2019,221,On a dit qu’on allait obtenir un ALENA avantageux et c’est exactement ce qu’on a livré. On se battra toujours pour les Canadiens et pour protéger vos emplois. https://t.co/ibLSYHQ4ys,[],1172873566171410432,1172873566171410432,fr,,"{'created_at': 'Sat Sep 14 14:02:34 +0000 2019', 'favorite_count': 108, 'full_text': 'Lorsqu’il était temps de négocier un meilleur ALENA, @cafreeland et l’équipe libérale se sont tenus debout pour protéger les travailleurs. Nous sommes à vos côtés - et nous le serons toujours. https://t.co/F0XM8pw1Ra', 'hashtags': [], 'id': 1172873275665539078, 'id_str': '1172873275665539078', 'lang': 'fr', 'media': [{'display_url': 'pic.twitter.com/F0XM8pw1Ra', 'expanded_url': 'https://twitter.com/parti_liberal/status/1172873275665539078/video/1', 'id': 1172682374695591936, 'media_url': 'http://pbs.twimg.com/media/EEY0_XwWsAAmp2W.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEY0_XwWsAAmp2W.jpg', 'sizes': {'medium': {'w': 480, 'h': 270, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 480, 'h': 270, 'resize': 'fit'}, 'large': {'w': 480, 'h': 270, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/F0XM8pw1Ra', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 30097, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682374695591936/vid/640x360/W-KXTn7Th2R59EGp.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1172682374695591936/pl/g3E-3OjSDEL_lNnr.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682374695591936/vid/1280x720/CtdtudYfpB2XCPB4.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1172682374695591936/vid/480x270/TVPq8dSOH7Bzz2Co.mp4?tag=13'}]}}], 'retweet_count': 45, 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [], 'user': {'id': 16397838, 'id_str': '16397838'}, 'user_mentions': [{'id': 203132018, 'id_str': '203132018', 'name': 'Chrystia Freeland', 'screen_name': 'cafreeland'}]}",1.172873275665539e+18,1172873275665539078,37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/parti_liberal/status/1172873275665539078', 'url': 'https://t.co/ibLSYHQ4ys'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
6,Sat Sep 14 03:13:41 +0000 2019,4654,"I might be biased, but Montreal sure knows how to throw a rally. No better way to end this week than in my hometown with so many friends. https://t.co/1vIs7cwXxL",[],1172709979167645696,1172709979167645696,en,"[{'display_url': 'pic.twitter.com/1vIs7cwXxL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709979167645696/photo/1', 'id': 1172709972800614400, 'media_url': 'http://pbs.twimg.com/media/EEZNgclWsAA2sLA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNgclWsAA2sLA.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/1vIs7cwXxL'}, {'display_url': 'pic.twitter.com/1vIs7cwXxL', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709979167645696/photo/1', 'id': 1172709972800675841, 'media_url': 'http://pbs.twimg.com/media/EEZNgclXoAE4Z6W.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNgclXoAE4Z6W.jpg', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/1vIs7cwXxL'}]",,,,479,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
7,Sat Sep 14 03:12:50 +0000 2019,415,"Je suis peut-être biaisé, mais il n'y a pas de meilleur endroit pour faire un rassemblement que chez moi, à Montréal. Quelle belle manière de clore cette semaine. https://t.co/DWiKoVU6k3",[],1172709763865546754,1172709763865546754,fr,"[{'display_url': 'pic.twitter.com/DWiKoVU6k3', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709763865546754/photo/1', 'id': 1172709757150466048, 'media_url': 'http://pbs.twimg.com/media/EEZNT5OWkAAFHuA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNT5OWkAAFHuA.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/DWiKoVU6k3'}, {'display_url': 'pic.twitter.com/DWiKoVU6k3', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172709763865546754/photo/1', 'id': 1172709757171511297, 'media_url': 'http://pbs.twimg.com/media/EEZNT5TXsAE9z1n.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEZNT5TXsAE9z1n.jpg', 'sizes': {'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/DWiKoVU6k3'}]",,,,51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
8,Fri Sep 13 23:49:50 +0000 2019,930,"There’s really no place like home. I’m in Montreal tonight to celebrate the start of this exciting campaign - watch live: https://t.co/YhiKmbGqaG 

#ChooseForward https://t.co/7eCOzThSLk",[{'text': 'ChooseForward'}],1172658678194933760,1172658678194933760,en,"[{'display_url': 'pic.twitter.com/7eCOzThSLk', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172658678194933760/photo/1', 'id': 1172658621920010241, 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EEYezbpXYAEMQWt.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EEYezbpXYAEMQWt.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 600, 'h': 338, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 338, 'resize': 'fit'}, 'large': {'w': 600, 'h': 338, 'resize': 'fit'}}, 'type': 'animated_gif', 'url': 'https://t.co/7eCOzThSLk', 'video_info': {'aspect_ratio': [300, 169], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EEYezbpXYAEMQWt.mp4'}]}}]",,,,143,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://lpc.ca/app9', 'url': 'https://t.co/YhiKmbGqaG'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
9,Fri Sep 13 23:49:18 +0000 2019,179,"Rien de mieux que d’être de retour à la maison! Je suis à Montréal pour célébrer en grand le début de la campagne. Regardez en direct : https://t.co/YhiKmbGqaG 

#ChoisirDAvancer https://t.co/ImkWGXAakr",[{'text': 'ChoisirDAvancer'}],1172658543830425601,1172658543830425601,fr,"[{'display_url': 'pic.twitter.com/ImkWGXAakr', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1172658543830425601/photo/1', 'id': 1172658501128261635, 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EEYesZqXkAMsvo9.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EEYesZqXkAMsvo9.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 540, 'h': 304, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 304, 'resize': 'fit'}, 'large': {'w': 540, 'h': 304, 'resize': 'fit'}}, 'type': 'animated_gif', 'url': 'https://t.co/ImkWGXAakr', 'video_info': {'aspect_ratio': [135, 76], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EEYesZqXkAMsvo9.mp4'}]}}]",,,,39,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://lpc.ca/app9', 'url': 'https://t.co/YhiKmbGqaG'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
