screen_name,phrase,count
MaximeBernier,years ago,6
MaximeBernier,free speech,13
MaximeBernier,sound money,5
MaximeBernier,antifa thugs,8
MaximeBernier,morally intellectually,9
MaximeBernier,intellectually corrupt,9
MaximeBernier,morally intellectually corrupt,9
MaximeBernier,freedom expression,6
MaximeBernier,identity politics,10
MaximeBernier,foreign aid,11
MaximeBernier,climate change,35
MaximeBernier,peoples party,11
MaximeBernier,ppc government,6
MaximeBernier,ppc party,14
MaximeBernier,lower immigration,7
MaximeBernier,majority canadians,5
MaximeBernier,skin colour,6
MaximeBernier,destroy economy,6
MaximeBernier,gold standard,9
MaximeBernier,sign petition,7
MaximeBernier,way life,5
MaximeBernier,party canada,7
MaximeBernier,peoples party canada,5
MaximeBernier,canadian politics,5
MaximeBernier,artificially low,7
MaximeBernier,low rates,8
MaximeBernier,artificially low rates,7
MaximeBernier,climate alarmists,16
MaximeBernier,security council,8
MaximeBernier,council seat,8
MaximeBernier,security council seat,8
MaximeBernier,central banks,14
MaximeBernier,fiat money,6
MaximeBernier,global warming,5
MaximeBernier,trudeau government,12
MaximeBernier,leadership race,6
MaximeBernier,stock market,5
MaximeBernier,money printing,6
MaximeBernier,mass immigration,7
MaximeBernier,like trudeau,7
MaximeBernier,millions canadians,5
MaximeBernier,buy votes,9
MaximeBernier,ppc candidate,5
MaximeBernier,make poorer,5
MaximeBernier,health care,9
MaximeBernier,coronavirus crisis,5
MaximeBernier,corporate welfare,10
MaximeBernier,private sector,9
MaximeBernier,common sense,10
MaximeBernier,billions dollars,6
MaximeBernier,watch interview,8
MaximeBernier,carbon tax,6
MaximeBernier,politically correct,7
MaximeBernier,ppc youtube,6
MaximeBernier,youtube channel,6
MaximeBernier,ppc youtube channel,6
MaximeBernier,climate emergency,8
MaximeBernier,eliminate deficit,7
MaximeBernier,subscribe ppc,6
MaximeBernier,want thank,5
MaximeBernier,lower taxes,13
MaximeBernier,dont need,5
MaximeBernier,open borders,9
MaximeBernier,subscribe ppc youtube,5
MaximeBernier,subscribe ppc youtube channel,5
