screen_name,phrase,count
MaximeBernier,canadas,20
MaximeBernier,economy,68
MaximeBernier,course,14
MaximeBernier,conservatives,15
MaximeBernier,years,68
MaximeBernier,ago,23
MaximeBernier,wants,15
MaximeBernier,mass,12
MaximeBernier,racism,11
MaximeBernier,watch,38
MaximeBernier,discussion,10
MaximeBernier,lockdown,19
MaximeBernier,spending,37
MaximeBernier,free,29
MaximeBernier,speech,20
MaximeBernier,sound,12
MaximeBernier,money,66
MaximeBernier,issues,15
MaximeBernier,new,33
MaximeBernier,social,12
MaximeBernier,antifa,16
MaximeBernier,thugs,17
MaximeBernier,governments,25
MaximeBernier,provincial,15
MaximeBernier,federal,12
MaximeBernier,pandemic,16
MaximeBernier,freedoms,12
MaximeBernier,spend,24
MaximeBernier,like,45
MaximeBernier,increase,13
MaximeBernier,morally,12
MaximeBernier,intellectually,10
MaximeBernier,corrupt,16
MaximeBernier,going,13
MaximeBernier,want,73
MaximeBernier,current,16
MaximeBernier,international,10
MaximeBernier,freedom,27
MaximeBernier,leader,23
MaximeBernier,racist,15
MaximeBernier,identity,19
MaximeBernier,politics,29
MaximeBernier,stop,34
MaximeBernier,people,43
MaximeBernier,canada,98
MaximeBernier,seat,13
MaximeBernier,trudeau,73
MaximeBernier,millions,16
MaximeBernier,campaign,20
MaximeBernier,foreign,21
MaximeBernier,aid,20
MaximeBernier,world,50
MaximeBernier,globalist,16
MaximeBernier,ideology,15
MaximeBernier,today,12
MaximeBernier,leftist,28
MaximeBernier,dont,52
MaximeBernier,climate,99
MaximeBernier,change,47
MaximeBernier,countries,18
MaximeBernier,party,74
MaximeBernier,peoplespca,48
MaximeBernier,radical,16
MaximeBernier,peoples,12
MaximeBernier,financial,24
MaximeBernier,monetary,15
MaximeBernier,massive,18
MaximeBernier,gold,22
MaximeBernier,months,12
MaximeBernier,way,20
MaximeBernier,government,115
MaximeBernier,basic,11
MaximeBernier,green,19
MaximeBernier,activists,12
MaximeBernier,plan,12
MaximeBernier,power,19
MaximeBernier,impose,11
MaximeBernier,trying,15
MaximeBernier,destroy,14
MaximeBernier,western,10
MaximeBernier,save,14
MaximeBernier,cpc,11
MaximeBernier,leadership,12
MaximeBernier,global,20
MaximeBernier,development,11
MaximeBernier,candidate,16
MaximeBernier,kill,11
MaximeBernier,right,20
MaximeBernier,open,18
MaximeBernier,wrong,13
MaximeBernier,ottawa,19
MaximeBernier,day,18
MaximeBernier,lets,24
MaximeBernier,youre,17
MaximeBernier,country,33
MaximeBernier,reason,11
MaximeBernier,come,15
MaximeBernier,society,17
MaximeBernier,corporate,17
MaximeBernier,subsidies,13
MaximeBernier,cbc,11
MaximeBernier,equalization,13
MaximeBernier,ppc,84
MaximeBernier,programs,10
MaximeBernier,responsible,27
MaximeBernier,lives,24
MaximeBernier,lower,32
MaximeBernier,immigration,36
MaximeBernier,im,18
MaximeBernier,weeks,16
MaximeBernier,situation,16
MaximeBernier,majority,13
MaximeBernier,canadians,69
MaximeBernier,liberal,25
MaximeBernier,time,41
MaximeBernier,left,31
MaximeBernier,interview,22
MaximeBernier,getting,12
MaximeBernier,continue,14
MaximeBernier,fight,24
MaximeBernier,gender,10
MaximeBernier,saying,15
MaximeBernier,focus,10
MaximeBernier,health,24
MaximeBernier,says,20
MaximeBernier,help,15
MaximeBernier,virus,15
MaximeBernier,taking,23
MaximeBernier,rational,11
MaximeBernier,crisis,42
MaximeBernier,hes,14
MaximeBernier,liberals,31
MaximeBernier,theyre,22
MaximeBernier,major,15
MaximeBernier,far,17
MaximeBernier,important,11
MaximeBernier,economic,32
MaximeBernier,political,33
MaximeBernier,leaders,19
MaximeBernier,able,11
MaximeBernier,make,32
MaximeBernier,face,10
MaximeBernier,need,31
MaximeBernier,bureaucrats,11
MaximeBernier,banks,19
MaximeBernier,canadian,46
MaximeBernier,believe,20
MaximeBernier,needs,10
MaximeBernier,issue,10
MaximeBernier,read,17
MaximeBernier,policies,54
MaximeBernier,sign,10
MaximeBernier,agree,11
MaximeBernier,clear,19
MaximeBernier,afraid,11
MaximeBernier,chinese,25
MaximeBernier,law,11
MaximeBernier,good,17
MaximeBernier,crazy,15
MaximeBernier,media,35
MaximeBernier,billions,24
MaximeBernier,taxes,20
MaximeBernier,china,17
MaximeBernier,trust,12
MaximeBernier,security,23
MaximeBernier,prevent,17
MaximeBernier,support,32
MaximeBernier,keynesian,16
MaximeBernier,printing,12
MaximeBernier,debt,44
MaximeBernier,balance,12
MaximeBernier,pay,14
MaximeBernier,protect,11
MaximeBernier,wont,16
MaximeBernier,care,22
MaximeBernier,instead,40
MaximeBernier,election,11
MaximeBernier,deficits,20
MaximeBernier,life,18
MaximeBernier,policy,15
MaximeBernier,problems,11
MaximeBernier,future,20
MaximeBernier,state,11
MaximeBernier,know,27
MaximeBernier,authoritarian,12
MaximeBernier,thats,47
MaximeBernier,coming,13
MaximeBernier,decades,17
MaximeBernier,case,10
MaximeBernier,parties,33
MaximeBernier,budget,13
MaximeBernier,said,28
MaximeBernier,say,20
MaximeBernier,eliminate,15
MaximeBernier,prosperity,13
MaximeBernier,rates,17
MaximeBernier,buy,20
MaximeBernier,making,10
MaximeBernier,sense,17
MaximeBernier,national,13
MaximeBernier,alarmists,19
MaximeBernier,control,16
MaximeBernier,central,15
MaximeBernier,market,12
MaximeBernier,bring,16
MaximeBernier,quebec,19
MaximeBernier,groups,10
MaximeBernier,end,13
MaximeBernier,things,10
MaximeBernier,emergency,20
MaximeBernier,hope,11
MaximeBernier,better,17
MaximeBernier,doesnt,12
MaximeBernier,maxime,21
MaximeBernier,based,18
MaximeBernier,let,16
MaximeBernier,debate,23
MaximeBernier,deficit,25
MaximeBernier,think,13
MaximeBernier,real,17
MaximeBernier,measures,14
MaximeBernier,create,11
MaximeBernier,values,13
MaximeBernier,week,12
MaximeBernier,work,15
MaximeBernier,businesses,13
MaximeBernier,welcome,11
MaximeBernier,year,14
MaximeBernier,votes,15
MaximeBernier,interests,10
MaximeBernier,fiscal,10
MaximeBernier,growth,11
MaximeBernier,public,13
MaximeBernier,message,11
MaximeBernier,tax,31
MaximeBernier,housing,11
MaximeBernier,oil,16
MaximeBernier,dollars,10
MaximeBernier,video,11
MaximeBernier,diversity,18
MaximeBernier,telling,10
MaximeBernier,private,12
MaximeBernier,coronavirus,15
MaximeBernier,welfare,11
MaximeBernier,nonsense,15
MaximeBernier,common,12
MaximeBernier,vote,20
MaximeBernier,alarmism,25
MaximeBernier,bernier,28
MaximeBernier,discuss,10
MaximeBernier,recession,13
MaximeBernier,thank,14
MaximeBernier,principles,13
MaximeBernier,panic,18
MaximeBernier,multiculturalism,12
MaximeBernier,conservative,17
MaximeBernier,choice,15
MaximeBernier,respect,11
MaximeBernier,hear,11
MaximeBernier,alarmist,12
MaximeBernier,cult,12
MaximeBernier,candidates,17
MaximeBernier,andrewscheer,11
MaximeBernier,scheer,29
MaximeBernier,promises,13
theJagmeetSingh,federal,38
theJagmeetSingh,government,193
theJagmeetSingh,rcmp,16
theJagmeetSingh,need,281
theJagmeetSingh,immediate,12
theJagmeetSingh,instead,40
theJagmeetSingh,spending,12
theJagmeetSingh,money,29
theJagmeetSingh,police,18
theJagmeetSingh,funding,27
theJagmeetSingh,healthcare,33
theJagmeetSingh,workers,146
theJagmeetSingh,pain,12
theJagmeetSingh,years,64
theJagmeetSingh,ago,18
theJagmeetSingh,act,45
theJagmeetSingh,lives,56
theJagmeetSingh,people,500
theJagmeetSingh,today,203
theJagmeetSingh,remember,34
theJagmeetSingh,lost,28
theJagmeetSingh,honour,34
theJagmeetSingh,recommit,21
theJagmeetSingh,building,27
theJagmeetSingh,peaceful,12
theJagmeetSingh,world,82
theJagmeetSingh,systemic,19
theJagmeetSingh,services,38
theJagmeetSingh,investing,14
theJagmeetSingh,affordable,66
theJagmeetSingh,housing,74
theJagmeetSingh,takes,11
theJagmeetSingh,courage,35
theJagmeetSingh,racism,34
theJagmeetSingh,want,71
theJagmeetSingh,away,28
theJagmeetSingh,know,56
theJagmeetSingh,youre,22
theJagmeetSingh,going,61
theJagmeetSingh,stand,44
theJagmeetSingh,better,108
theJagmeetSingh,canada,162
theJagmeetSingh,care,132
theJagmeetSingh,help,178
theJagmeetSingh,helped,12
theJagmeetSingh,crisis,71
theJagmeetSingh,story,20
theJagmeetSingh,matter,14
theJagmeetSingh,good,61
theJagmeetSingh,things,38
theJagmeetSingh,thanks,42
theJagmeetSingh,means,24
theJagmeetSingh,happy,38
theJagmeetSingh,national,39
theJagmeetSingh,indigenous,77
theJagmeetSingh,peoples,21
theJagmeetSingh,day,108
theJagmeetSingh,celebrate,26
theJagmeetSingh,justice,36
theJagmeetSingh,future,40
theJagmeetSingh,thats,66
theJagmeetSingh,land,11
theJagmeetSingh,stories,14
theJagmeetSingh,im,88
theJagmeetSingh,bc,20
theJagmeetSingh,urgently,14
theJagmeetSingh,like,121
theJagmeetSingh,needs,68
theJagmeetSingh,thank,115
theJagmeetSingh,friend,16
theJagmeetSingh,chief,20
theJagmeetSingh,pm,96
theJagmeetSingh,said,12
theJagmeetSingh,wait,45
theJagmeetSingh,commit,18
theJagmeetSingh,immediately,14
theJagmeetSingh,concrete,11
theJagmeetSingh,changes,11
theJagmeetSingh,end,49
theJagmeetSingh,use,19
theJagmeetSingh,force,12
theJagmeetSingh,fund,16
theJagmeetSingh,response,11
theJagmeetSingh,asked,19
theJagmeetSingh,house,18
theJagmeetSingh,thoughts,27
theJagmeetSingh,make,212
theJagmeetSingh,prime,40
theJagmeetSingh,minister,41
theJagmeetSingh,provide,14
theJagmeetSingh,leaders,21
theJagmeetSingh,say,24
theJagmeetSingh,toronto,33
theJagmeetSingh,change,60
theJagmeetSingh,health,70
theJagmeetSingh,liberals,99
theJagmeetSingh,life,94
theJagmeetSingh,words,22
theJagmeetSingh,actions,12
theJagmeetSingh,power,22
theJagmeetSingh,working,63
theJagmeetSingh,announced,17
theJagmeetSingh,cerb,30
theJagmeetSingh,liberal,69
theJagmeetSingh,says,16
theJagmeetSingh,right,81
theJagmeetSingh,doesnt,30
theJagmeetSingh,lets,100
theJagmeetSingh,millions,18
theJagmeetSingh,canadians,277
theJagmeetSingh,longer,10
theJagmeetSingh,weeks,17
theJagmeetSingh,job,30
theJagmeetSingh,extend,15
theJagmeetSingh,families,86
theJagmeetSingh,days,19
theJagmeetSingh,long,33
theJagmeetSingh,support,53
theJagmeetSingh,worried,23
theJagmeetSingh,dont,58
theJagmeetSingh,jobs,50
theJagmeetSingh,pay,62
theJagmeetSingh,bills,21
theJagmeetSingh,answer,10
theJagmeetSingh,heart,20
theJagmeetSingh,breaks,10
theJagmeetSingh,family,50
theJagmeetSingh,community,65
theJagmeetSingh,fear,17
theJagmeetSingh,trudeau,167
theJagmeetSingh,wont,33
theJagmeetSingh,real,24
theJagmeetSingh,action,54
theJagmeetSingh,12,18
theJagmeetSingh,million,31
theJagmeetSingh,tax,40
theJagmeetSingh,profit,15
theJagmeetSingh,governments,43
theJagmeetSingh,industry,10
theJagmeetSingh,afford,41
theJagmeetSingh,seniors,25
theJagmeetSingh,longterm,17
theJagmeetSingh,time,119
theJagmeetSingh,friends,43
theJagmeetSingh,feel,36
theJagmeetSingh,pretty,13
theJagmeetSingh,cut,19
theJagmeetSingh,able,14
theJagmeetSingh,food,11
theJagmeetSingh,covid19,33
theJagmeetSingh,everyday,33
theJagmeetSingh,work,130
theJagmeetSingh,question,16
theJagmeetSingh,living,17
theJagmeetSingh,waiting,15
theJagmeetSingh,plan,88
theJagmeetSingh,tonight,30
theJagmeetSingh,join,22
theJagmeetSingh,putting,15
theJagmeetSingh,times,12
theJagmeetSingh,forward,25
theJagmeetSingh,trudeaus,39
theJagmeetSingh,didnt,13
theJagmeetSingh,bring,14
theJagmeetSingh,students,17
theJagmeetSingh,special,18
theJagmeetSingh,school,11
theJagmeetSingh,wage,26
theJagmeetSingh,subsidy,11
theJagmeetSingh,way,55
theJagmeetSingh,essential,13
theJagmeetSingh,paid,20
theJagmeetSingh,safe,53
theJagmeetSingh,sick,22
