phrase,count,user_name,total_count,rank
rt_maximebernier,1365,Maxime Bernier,1365,1.0
de_la,461,Justin Trudeau,1272,2.0
de_la,330,Andrew Scheer,1272,2.0
de_la,285,Jagmeet Singh,1272,2.0
de_la,185,Maxime Bernier,1272,2.0
de_la,11,Elizabeth May,1272,2.0
justin_trudeau,700,Andrew Scheer,888,3.0
justin_trudeau,101,Jagmeet Singh,888,3.0
justin_trudeau,62,Justin Trudeau,888,3.0
justin_trudeau,20,Maxime Bernier,888,3.0
justin_trudeau,5,Elizabeth May,888,3.0
les_canadiens,371,Andrew Scheer,551,4.0
les_canadiens,131,Justin Trudeau,551,4.0
les_canadiens,29,Maxime Bernier,551,4.0
les_canadiens,20,Jagmeet Singh,551,4.0
pour_les,166,Justin Trudeau,438,5.0
pour_les,147,Jagmeet Singh,438,5.0
pour_les,93,Andrew Scheer,438,5.0
pour_les,30,Maxime Bernier,438,5.0
pour_les,2,Elizabeth May,438,5.0
et_les,131,Justin Trudeau,388,6.0
et_les,115,Jagmeet Singh,388,6.0
et_les,109,Andrew Scheer,388,6.0
et_les,32,Maxime Bernier,388,6.0
et_les,1,Elizabeth May,388,6.0
et_de,141,Justin Trudeau,378,7.0
et_de,105,Andrew Scheer,378,7.0
et_de,90,Jagmeet Singh,378,7.0
et_de,41,Maxime Bernier,378,7.0
et_de,1,Elizabeth May,378,7.0
la_covid19,281,Justin Trudeau,358,8.0
la_covid19,48,Andrew Scheer,358,8.0
la_covid19,23,Jagmeet Singh,358,8.0
la_covid19,5,Maxime Bernier,358,8.0
la_covid19,1,Elizabeth May,358,8.0
les_gens,232,Jagmeet Singh,339,9.0
les_gens,50,Justin Trudeau,339,9.0
les_gens,38,Andrew Scheer,339,9.0
les_gens,18,Maxime Bernier,339,9.0
les_gens,1,Elizabeth May,339,9.0
du_canada,171,Andrew Scheer,336,10.0
du_canada,86,Justin Trudeau,336,10.0
du_canada,40,Maxime Bernier,336,10.0
du_canada,35,Jagmeet Singh,336,10.0
du_canada,4,Elizabeth May,336,10.0
tous_les,128,Andrew Scheer,334,11.0
tous_les,92,Justin Trudeau,334,11.0
tous_les,56,Jagmeet Singh,334,11.0
tous_les,56,Maxime Bernier,334,11.0
tous_les,2,Elizabeth May,334,11.0
que_les,124,Jagmeet Singh,288,12.0
que_les,62,Andrew Scheer,288,12.0
que_les,54,Justin Trudeau,288,12.0
que_les,48,Maxime Bernier,288,12.0
le_gouvernement,101,Jagmeet Singh,283,13.0
le_gouvernement,88,Andrew Scheer,283,13.0
le_gouvernement,67,Maxime Bernier,283,13.0
le_gouvernement,26,Justin Trudeau,283,13.0
le_gouvernement,1,Elizabeth May,283,13.0
sur_le,120,Andrew Scheer,266,14.0
sur_le,57,Justin Trudeau,266,14.0
sur_le,53,Jagmeet Singh,266,14.0
sur_le,35,Maxime Bernier,266,14.0
sur_le,1,Elizabeth May,266,14.0
get_ahead,260,Andrew Scheer,264,15.0
get_ahead,4,Jagmeet Singh,264,15.0
nous_avons,101,Justin Trudeau,262,16.0
nous_avons,70,Andrew Scheer,262,16.0
nous_avons,63,Jagmeet Singh,262,16.0
nous_avons,24,Maxime Bernier,262,16.0
nous_avons,4,Elizabeth May,262,16.0
pour_vous,142,Andrew Scheer,259,17.0
pour_vous,91,Justin Trudeau,259,17.0
pour_vous,26,Jagmeet Singh,259,17.0
en_direct,124,Andrew Scheer,255,18.0
en_direct,75,Justin Trudeau,255,18.0
en_direct,54,Jagmeet Singh,255,18.0
en_direct,1,Elizabeth May,255,18.0
en_direct,1,Maxime Bernier,255,18.0
le_canada,103,Andrew Scheer,245,19.0
le_canada,62,Justin Trudeau,245,19.0
le_canada,40,Maxime Bernier,245,19.0
le_canada,36,Jagmeet Singh,245,19.0
le_canada,4,Elizabeth May,245,19.0
que_nous,87,Justin Trudeau,231,20.0
que_nous,65,Jagmeet Singh,231,20.0
que_nous,47,Andrew Scheer,231,20.0
que_nous,31,Maxime Bernier,231,20.0
que_nous,1,Elizabeth May,231,20.0
de_notre,102,Justin Trudeau,226,21.0
de_notre,78,Andrew Scheer,226,21.0
de_notre,32,Jagmeet Singh,226,21.0
de_notre,13,Maxime Bernier,226,21.0
de_notre,1,Elizabeth May,226,21.0
plus_de,97,Justin Trudeau,224,22.0
plus_de,51,Maxime Bernier,224,22.0
plus_de,41,Andrew Scheer,224,22.0
plus_de,33,Jagmeet Singh,224,22.0
plus_de,2,Elizabeth May,224,22.0
les_libraux,112,Jagmeet Singh,220,23.0
les_libraux,73,Andrew Scheer,220,23.0
les_libraux,35,Maxime Bernier,220,23.0
et_la,72,Justin Trudeau,219,24.0
et_la,64,Jagmeet Singh,219,24.0
et_la,53,Andrew Scheer,219,24.0
et_la,25,Maxime Bernier,219,24.0
et_la,5,Elizabeth May,219,24.0
prime_minister,95,Andrew Scheer,217,25.0
prime_minister,74,Justin Trudeau,217,25.0
prime_minister,35,Jagmeet Singh,217,25.0
prime_minister,7,Elizabeth May,217,25.0
prime_minister,6,Maxime Bernier,217,25.0
je_suis,87,Andrew Scheer,217,26.0
je_suis,56,Jagmeet Singh,217,26.0
je_suis,40,Justin Trudeau,217,26.0
je_suis,28,Maxime Bernier,217,26.0
je_suis,6,Elizabeth May,217,26.0
sur_la,82,Justin Trudeau,213,28.0
sur_la,65,Andrew Scheer,213,28.0
sur_la,38,Maxime Bernier,213,28.0
sur_la,28,Jagmeet Singh,213,28.0
au_canada,85,Jagmeet Singh,213,27.0
au_canada,63,Andrew Scheer,213,27.0
au_canada,40,Justin Trudeau,213,27.0
au_canada,24,Maxime Bernier,213,27.0
au_canada,1,Elizabeth May,213,27.0
et_des,65,Justin Trudeau,206,29.0
et_des,53,Andrew Scheer,206,29.0
et_des,45,Jagmeet Singh,206,29.0
et_des,40,Maxime Bernier,206,29.0
et_des,3,Elizabeth May,206,29.0
le_monde,81,Jagmeet Singh,204,30.0
le_monde,54,Andrew Scheer,204,30.0
le_monde,40,Justin Trudeau,204,30.0
le_monde,28,Maxime Bernier,204,30.0
le_monde,1,Elizabeth May,204,30.0
across_country,113,Justin Trudeau,200,31.0
across_country,55,Andrew Scheer,200,31.0
across_country,22,Jagmeet Singh,200,31.0
across_country,8,Elizabeth May,200,31.0
across_country,2,Maxime Bernier,200,31.0
ceux_qui,81,Andrew Scheer,199,32.0
ceux_qui,52,Justin Trudeau,199,32.0
ceux_qui,34,Jagmeet Singh,199,32.0
ceux_qui,31,Maxime Bernier,199,32.0
ceux_qui,1,Elizabeth May,199,32.0
les_conservateurs,176,Andrew Scheer,197,33.0
les_conservateurs,16,Jagmeet Singh,197,33.0
les_conservateurs,5,Maxime Bernier,197,33.0
ce_que,56,Justin Trudeau,180,34.0
ce_que,55,Jagmeet Singh,180,34.0
ce_que,41,Andrew Scheer,180,34.0
ce_que,27,Maxime Bernier,180,34.0
ce_que,1,Elizabeth May,180,34.0
sur_les,51,Justin Trudeau,178,35.0
sur_les,50,Maxime Bernier,178,35.0
sur_les,42,Jagmeet Singh,178,35.0
sur_les,35,Andrew Scheer,178,35.0
la_vie,71,Jagmeet Singh,175,36.0
la_vie,70,Andrew Scheer,175,36.0
la_vie,22,Justin Trudeau,175,36.0
la_vie,11,Maxime Bernier,175,36.0
la_vie,1,Elizabeth May,175,36.0
que_le,57,Andrew Scheer,173,38.0
que_le,53,Jagmeet Singh,173,38.0
que_le,46,Maxime Bernier,173,38.0
que_le,16,Justin Trudeau,173,38.0
que_le,1,Elizabeth May,173,38.0
premier_ministre,79,Andrew Scheer,173,37.0
premier_ministre,54,Justin Trudeau,173,37.0
premier_ministre,37,Jagmeet Singh,173,37.0
premier_ministre,3,Maxime Bernier,173,37.0
rt_glen4climate,171,Elizabeth May,171,39.0
que_vous,87,Justin Trudeau,166,40.0
que_vous,43,Andrew Scheer,166,40.0
que_vous,24,Jagmeet Singh,166,40.0
que_vous,11,Maxime Bernier,166,40.0
que_vous,1,Elizabeth May,166,40.0
dans_le,54,Andrew Scheer,165,41.0
dans_le,47,Jagmeet Singh,165,41.0
dans_le,46,Justin Trudeau,165,41.0
dans_le,18,Maxime Bernier,165,41.0
si_vous,105,Justin Trudeau,161,42.0
si_vous,30,Maxime Bernier,161,42.0
si_vous,13,Jagmeet Singh,161,42.0
si_vous,10,Andrew Scheer,161,42.0
si_vous,3,Elizabeth May,161,42.0
avec_les,75,Justin Trudeau,159,43.0
avec_les,43,Jagmeet Singh,159,43.0
avec_les,24,Andrew Scheer,159,43.0
avec_les,16,Maxime Bernier,159,43.0
avec_les,1,Elizabeth May,159,43.0
de_la_covid19,127,Justin Trudeau,157,44.0
de_la_covid19,16,Andrew Scheer,157,44.0
de_la_covid19,14,Jagmeet Singh,157,44.0
pour_aider,72,Justin Trudeau,155,45.0
pour_aider,41,Andrew Scheer,155,45.0
pour_aider,37,Jagmeet Singh,155,45.0
pour_aider,4,Maxime Bernier,155,45.0
pour_aider,1,Elizabeth May,155,45.0
et_le,45,Andrew Scheer,155,46.0
et_le,44,Jagmeet Singh,155,46.0
et_le,34,Justin Trudeau,155,46.0
et_le,32,Maxime Bernier,155,46.0
dans_les,44,Jagmeet Singh,154,47.0
dans_les,40,Andrew Scheer,154,47.0
dans_les,37,Maxime Bernier,154,47.0
dans_les,33,Justin Trudeau,154,47.0
aider_les,59,Justin Trudeau,154,48.0
aider_les,53,Andrew Scheer,154,48.0
aider_les,40,Jagmeet Singh,154,48.0
aider_les,1,Elizabeth May,154,48.0
aider_les,1,Maxime Bernier,154,48.0
il_est,65,Andrew Scheer,153,49.0
il_est,45,Jagmeet Singh,153,49.0
il_est,26,Maxime Bernier,153,49.0
il_est,15,Justin Trudeau,153,49.0
il_est,2,Elizabeth May,153,49.0
ont_besoin,89,Jagmeet Singh,152,50.0
ont_besoin,31,Justin Trudeau,152,50.0
ont_besoin,31,Andrew Scheer,152,50.0
ont_besoin,1,Maxime Bernier,152,50.0
pour_la,51,Justin Trudeau,151,51.0
pour_la,51,Jagmeet Singh,151,51.0
pour_la,34,Andrew Scheer,151,51.0
pour_la,9,Maxime Bernier,151,51.0
pour_la,6,Elizabeth May,151,51.0
pour_le,49,Justin Trudeau,150,52.0
pour_le,41,Andrew Scheer,150,52.0
pour_le,34,Jagmeet Singh,150,52.0
pour_le,25,Maxime Bernier,150,52.0
pour_le,1,Elizabeth May,150,52.0
nous_sommes,56,Jagmeet Singh,150,53.0
nous_sommes,44,Justin Trudeau,150,53.0
nous_sommes,32,Andrew Scheer,150,53.0
nous_sommes,16,Maxime Bernier,150,53.0
nous_sommes,2,Elizabeth May,150,53.0
qui_ont,49,Jagmeet Singh,149,54.0
qui_ont,42,Justin Trudeau,149,54.0
qui_ont,39,Andrew Scheer,149,54.0
qui_ont,18,Maxime Bernier,149,54.0
qui_ont,1,Elizabeth May,149,54.0
tout_le,58,Jagmeet Singh,148,55.0
tout_le,41,Andrew Scheer,148,55.0
tout_le,26,Justin Trudeau,148,55.0
tout_le,23,Maxime Bernier,148,55.0
climate_change,54,Maxime Bernier,147,56.0
climate_change,32,Jagmeet Singh,147,56.0
climate_change,26,Elizabeth May,147,56.0
climate_change,23,Justin Trudeau,147,56.0
climate_change,12,Andrew Scheer,147,56.0
plan_pour,94,Andrew Scheer,146,57.0
plan_pour,46,Jagmeet Singh,146,57.0
plan_pour,5,Justin Trudeau,146,57.0
plan_pour,1,Maxime Bernier,146,57.0
nous_devons,90,Jagmeet Singh,145,58.0
nous_devons,26,Andrew Scheer,145,58.0
nous_devons,13,Justin Trudeau,145,58.0
nous_devons,11,Maxime Bernier,145,58.0
nous_devons,5,Elizabeth May,145,58.0
avec_le,82,Justin Trudeau,133,59.0
avec_le,20,Jagmeet Singh,133,59.0
avec_le,19,Andrew Scheer,133,59.0
avec_le,12,Maxime Bernier,133,59.0
justin_trudeaus,125,Andrew Scheer,132,60.0
justin_trudeaus,5,Jagmeet Singh,132,60.0
justin_trudeaus,1,Justin Trudeau,132,60.0
justin_trudeaus,1,Elizabeth May,132,60.0
make_sure,79,Justin Trudeau,131,61.0
make_sure,31,Jagmeet Singh,131,61.0
make_sure,13,Andrew Scheer,131,61.0
make_sure,5,Elizabeth May,131,61.0
make_sure,3,Maxime Bernier,131,61.0
de_trudeau,104,Andrew Scheer,128,63.0
de_trudeau,17,Maxime Bernier,128,63.0
de_trudeau,7,Jagmeet Singh,128,63.0
alors_que,55,Jagmeet Singh,128,62.0
alors_que,25,Justin Trudeau,128,62.0
alors_que,24,Maxime Bernier,128,62.0
alors_que,23,Andrew Scheer,128,62.0
alors_que,1,Elizabeth May,128,62.0
et_moi,63,Andrew Scheer,126,64.0
et_moi,49,Justin Trudeau,126,64.0
et_moi,7,Jagmeet Singh,126,64.0
et_moi,6,Maxime Bernier,126,64.0
et_moi,1,Elizabeth May,126,64.0
la_sant,58,Justin Trudeau,124,65.0
la_sant,25,Andrew Scheer,124,65.0
la_sant,24,Jagmeet Singh,124,65.0
la_sant,13,Maxime Bernier,124,65.0
la_sant,4,Elizabeth May,124,65.0
des_canadiens,61,Andrew Scheer,124,66.0
des_canadiens,31,Justin Trudeau,124,66.0
des_canadiens,28,Maxime Bernier,124,66.0
des_canadiens,4,Jagmeet Singh,124,66.0
pour_que,42,Jagmeet Singh,123,67.0
pour_que,38,Justin Trudeau,123,67.0
pour_que,38,Andrew Scheer,123,67.0
pour_que,5,Maxime Bernier,123,67.0
des_gens,79,Jagmeet Singh,120,68.0
des_gens,22,Justin Trudeau,120,68.0
des_gens,17,Andrew Scheer,120,68.0
des_gens,2,Maxime Bernier,120,68.0
rt_annamiepaul,119,Elizabeth May,119,69.0
rt_amitakuttner,119,Elizabeth May,119,70.0
au_pays,52,Justin Trudeau,119,71.0
au_pays,34,Andrew Scheer,119,71.0
au_pays,29,Jagmeet Singh,119,71.0
au_pays,4,Maxime Bernier,119,71.0
watch_live,67,Andrew Scheer,118,72.0
watch_live,46,Justin Trudeau,118,72.0
watch_live,3,Jagmeet Singh,118,72.0
watch_live,2,Elizabeth May,118,72.0
de_justin,89,Andrew Scheer,116,73.0
de_justin,23,Jagmeet Singh,116,73.0
de_justin,4,Maxime Bernier,116,73.0
vous_tes,70,Justin Trudeau,115,76.0
vous_tes,21,Maxime Bernier,115,76.0
vous_tes,13,Jagmeet Singh,115,76.0
vous_tes,9,Andrew Scheer,115,76.0
vous_tes,2,Elizabeth May,115,76.0
que_la,45,Maxime Bernier,115,77.0
que_la,30,Jagmeet Singh,115,77.0
que_la,23,Justin Trudeau,115,77.0
que_la,17,Andrew Scheer,115,77.0
et_nous,35,Jagmeet Singh,115,74.0
et_nous,34,Justin Trudeau,115,74.0
et_nous,28,Andrew Scheer,115,74.0
et_nous,17,Maxime Bernier,115,74.0
et_nous,1,Elizabeth May,115,74.0
around_world,41,Justin Trudeau,115,75.0
around_world,37,Andrew Scheer,115,75.0
around_world,27,Jagmeet Singh,115,75.0
around_world,6,Maxime Bernier,115,75.0
around_world,4,Elizabeth May,115,75.0
les_entreprises,68,Justin Trudeau,114,78.0
les_entreprises,21,Jagmeet Singh,114,78.0
les_entreprises,12,Andrew Scheer,114,78.0
les_entreprises,12,Maxime Bernier,114,78.0
les_entreprises,1,Elizabeth May,114,78.0
de_nos,49,Justin Trudeau,114,79.0
de_nos,30,Andrew Scheer,114,79.0
de_nos,20,Jagmeet Singh,114,79.0
de_nos,14,Maxime Bernier,114,79.0
de_nos,1,Elizabeth May,114,79.0
de_justin_trudeau,89,Andrew Scheer,114,80.0
de_justin_trudeau,23,Jagmeet Singh,114,80.0
de_justin_trudeau,2,Maxime Bernier,114,80.0
