word,count,user_name,total_count,rank
de,2417,Andrew Scheer,8814,1.0
de,2359,Jagmeet Singh,8814,1.0
de,2327,Justin Trudeau,8814,1.0
de,1647,Maxime Bernier,8814,1.0
de,64,Elizabeth May,8814,1.0
rt,3116,Elizabeth May,7063,2.0
rt,1738,Maxime Bernier,7063,2.0
rt,1417,Justin Trudeau,7063,2.0
rt,543,Jagmeet Singh,7063,2.0
rt,249,Andrew Scheer,7063,2.0
les,1780,Jagmeet Singh,5831,3.0
les,1744,Andrew Scheer,5831,3.0
les,1405,Justin Trudeau,5831,3.0
les,877,Maxime Bernier,5831,3.0
les,25,Elizabeth May,5831,3.0
et,1712,Justin Trudeau,5669,4.0
et,1523,Andrew Scheer,5669,4.0
et,1493,Jagmeet Singh,5669,4.0
et,896,Maxime Bernier,5669,4.0
et,45,Elizabeth May,5669,4.0
la,1509,Justin Trudeau,5166,5.0
la,1389,Andrew Scheer,5166,5.0
la,1240,Jagmeet Singh,5166,5.0
la,958,Maxime Bernier,5166,5.0
la,70,Elizabeth May,5166,5.0
le,1217,Andrew Scheer,4085,6.0
le,998,Jagmeet Singh,4085,6.0
le,954,Justin Trudeau,4085,6.0
le,881,Maxime Bernier,4085,6.0
le,35,Elizabeth May,4085,6.0
pour,1228,Justin Trudeau,3863,7.0
pour,1107,Andrew Scheer,3863,7.0
pour,1090,Jagmeet Singh,3863,7.0
pour,411,Maxime Bernier,3863,7.0
pour,27,Elizabeth May,3863,7.0
des,988,Jagmeet Singh,3589,8.0
des,921,Andrew Scheer,3589,8.0
des,891,Justin Trudeau,3589,8.0
des,770,Maxime Bernier,3589,8.0
des,19,Elizabeth May,3589,8.0
en,688,Andrew Scheer,2351,9.0
en,664,Justin Trudeau,2351,9.0
en,608,Jagmeet Singh,2351,9.0
en,374,Maxime Bernier,2351,9.0
en,17,Elizabeth May,2351,9.0
nous,794,Jagmeet Singh,2181,10.0
nous,597,Justin Trudeau,2181,10.0
nous,521,Andrew Scheer,2181,10.0
nous,246,Maxime Bernier,2181,10.0
nous,23,Elizabeth May,2181,10.0
canada,637,Andrew Scheer,2023,11.0
canada,522,Justin Trudeau,2023,11.0
canada,347,Jagmeet Singh,2023,11.0
canada,315,Maxime Bernier,2023,11.0
canada,202,Elizabeth May,2023,11.0
que,585,Jagmeet Singh,1955,12.0
que,504,Andrew Scheer,1955,12.0
que,468,Justin Trudeau,1955,12.0
que,388,Maxime Bernier,1955,12.0
que,10,Elizabeth May,1955,12.0
du,596,Andrew Scheer,1909,13.0
du,496,Justin Trudeau,1909,13.0
du,445,Jagmeet Singh,1909,13.0
du,345,Maxime Bernier,1909,13.0
du,27,Elizabeth May,1909,13.0
trudeau,1176,Andrew Scheer,1867,14.0
trudeau,369,Jagmeet Singh,1867,14.0
trudeau,241,Maxime Bernier,1867,14.0
trudeau,63,Justin Trudeau,1867,14.0
trudeau,18,Elizabeth May,1867,14.0
un,510,Andrew Scheer,1664,15.0
un,439,Jagmeet Singh,1664,15.0
un,377,Maxime Bernier,1664,15.0
un,323,Justin Trudeau,1664,15.0
un,15,Elizabeth May,1664,15.0
qui,519,Jagmeet Singh,1627,16.0
qui,409,Andrew Scheer,1627,16.0
qui,349,Justin Trudeau,1627,16.0
qui,341,Maxime Bernier,1627,16.0
qui,9,Elizabeth May,1627,16.0
maximebernier,1495,Maxime Bernier,1495,17.0
au,438,Jagmeet Singh,1495,18.0
au,429,Andrew Scheer,1495,18.0
au,384,Justin Trudeau,1495,18.0
au,234,Maxime Bernier,1495,18.0
au,10,Elizabeth May,1495,18.0
plus,473,Andrew Scheer,1414,19.0
plus,412,Justin Trudeau,1414,19.0
plus,285,Jagmeet Singh,1414,19.0
plus,238,Maxime Bernier,1414,19.0
plus,6,Elizabeth May,1414,19.0
vous,639,Justin Trudeau,1393,20.0
vous,394,Andrew Scheer,1393,20.0
vous,201,Jagmeet Singh,1393,20.0
vous,152,Maxime Bernier,1393,20.0
vous,7,Elizabeth May,1393,20.0
une,415,Jagmeet Singh,1299,21.0
une,316,Andrew Scheer,1299,21.0
une,279,Maxime Bernier,1299,21.0
une,271,Justin Trudeau,1299,21.0
une,18,Elizabeth May,1299,21.0
canadians,564,Andrew Scheer,1273,22.0
canadians,305,Jagmeet Singh,1273,22.0
canadians,233,Justin Trudeau,1273,22.0
canadians,124,Maxime Bernier,1273,22.0
canadians,47,Elizabeth May,1273,22.0
notre,409,Andrew Scheer,1152,23.0
notre,329,Justin Trudeau,1152,23.0
notre,211,Jagmeet Singh,1152,23.0
notre,194,Maxime Bernier,1152,23.0
notre,9,Elizabeth May,1152,23.0
covid19,722,Justin Trudeau,1124,24.0
covid19,195,Elizabeth May,1124,24.0
covid19,112,Andrew Scheer,1124,24.0
covid19,76,Jagmeet Singh,1124,24.0
covid19,19,Maxime Bernier,1124,24.0
est,305,Maxime Bernier,1082,25.0
est,293,Andrew Scheer,1082,25.0
est,264,Jagmeet Singh,1082,25.0
est,188,Justin Trudeau,1082,25.0
est,32,Elizabeth May,1082,25.0
ce,336,Justin Trudeau,1068,26.0
ce,292,Jagmeet Singh,1068,26.0
ce,235,Andrew Scheer,1068,26.0
ce,199,Maxime Bernier,1068,26.0
ce,6,Elizabeth May,1068,26.0
sur,328,Andrew Scheer,1049,27.0
sur,310,Justin Trudeau,1049,27.0
sur,201,Jagmeet Singh,1049,27.0
sur,201,Maxime Bernier,1049,27.0
sur,9,Elizabeth May,1049,27.0
pas,361,Jagmeet Singh,1047,28.0
pas,292,Andrew Scheer,1047,28.0
pas,265,Maxime Bernier,1047,28.0
pas,124,Justin Trudeau,1047,28.0
pas,5,Elizabeth May,1047,28.0
people,539,Jagmeet Singh,1033,29.0
people,159,Elizabeth May,1033,29.0
people,151,Justin Trudeau,1033,29.0
people,104,Andrew Scheer,1033,29.0
people,80,Maxime Bernier,1033,29.0
justin,829,Andrew Scheer,1029,30.0
justin,106,Jagmeet Singh,1029,30.0
justin,65,Justin Trudeau,1029,30.0
justin,22,Maxime Bernier,1029,30.0
justin,7,Elizabeth May,1029,30.0
today,343,Justin Trudeau,1017,31.0
today,245,Jagmeet Singh,1017,31.0
today,225,Andrew Scheer,1017,31.0
today,168,Elizabeth May,1017,31.0
today,36,Maxime Bernier,1017,31.0
avec,345,Justin Trudeau,1000,32.0
avec,247,Jagmeet Singh,1000,32.0
avec,224,Andrew Scheer,1000,32.0
avec,179,Maxime Bernier,1000,32.0
avec,5,Elizabeth May,1000,32.0
aux,359,Jagmeet Singh,982,33.0
aux,273,Andrew Scheer,982,33.0
aux,250,Justin Trudeau,982,33.0
aux,91,Maxime Bernier,982,33.0
aux,9,Elizabeth May,982,33.0
canadiens,569,Andrew Scheer,964,34.0
canadiens,242,Justin Trudeau,964,34.0
canadiens,95,Maxime Bernier,964,34.0
canadiens,57,Jagmeet Singh,964,34.0
canadiens,1,Elizabeth May,964,34.0
je,405,Andrew Scheer,954,35.0
je,213,Justin Trudeau,954,35.0
je,213,Jagmeet Singh,954,35.0
je,110,Maxime Bernier,954,35.0
je,13,Elizabeth May,954,35.0
dans,282,Andrew Scheer,943,36.0
dans,274,Jagmeet Singh,943,36.0
dans,208,Justin Trudeau,943,36.0
dans,169,Maxime Bernier,943,36.0
dans,10,Elizabeth May,943,36.0
get,401,Andrew Scheer,895,37.0
get,210,Justin Trudeau,895,37.0
get,146,Jagmeet Singh,895,37.0
get,70,Maxime Bernier,895,37.0
get,68,Elizabeth May,895,37.0
need,299,Jagmeet Singh,834,38.0
need,242,Justin Trudeau,834,38.0
need,132,Elizabeth May,834,38.0
need,112,Andrew Scheer,834,38.0
need,49,Maxime Bernier,834,38.0
government,255,Andrew Scheer,821,39.0
government,224,Jagmeet Singh,821,39.0
government,182,Maxime Bernier,821,39.0
government,85,Justin Trudeau,821,39.0
government,75,Elizabeth May,821,39.0
il,311,Andrew Scheer,818,40.0
il,218,Jagmeet Singh,818,40.0
il,185,Maxime Bernier,818,40.0
il,98,Justin Trudeau,818,40.0
il,6,Elizabeth May,818,40.0
ont,283,Jagmeet Singh,799,41.0
ont,231,Andrew Scheer,799,41.0
ont,174,Justin Trudeau,799,41.0
ont,108,Maxime Bernier,799,41.0
ont,3,Elizabeth May,799,41.0
help,298,Justin Trudeau,797,42.0
help,237,Andrew Scheer,797,42.0
help,186,Jagmeet Singh,797,42.0
help,51,Elizabeth May,797,42.0
help,25,Maxime Bernier,797,42.0
nos,286,Justin Trudeau,790,43.0
nos,230,Andrew Scheer,790,43.0
nos,138,Jagmeet Singh,790,43.0
nos,131,Maxime Bernier,790,43.0
nos,5,Elizabeth May,790,43.0
ne,290,Jagmeet Singh,780,44.0
ne,215,Andrew Scheer,780,44.0
ne,172,Maxime Bernier,780,44.0
ne,94,Justin Trudeau,780,44.0
ne,9,Elizabeth May,780,44.0
sont,202,Jagmeet Singh,689,45.0
sont,173,Andrew Scheer,689,45.0
sont,164,Justin Trudeau,689,45.0
sont,146,Maxime Bernier,689,45.0
sont,4,Elizabeth May,689,45.0
plan,344,Andrew Scheer,666,46.0
plan,201,Jagmeet Singh,666,46.0
plan,49,Justin Trudeau,666,46.0
plan,43,Maxime Bernier,666,46.0
plan,29,Elizabeth May,666,46.0
tous,235,Andrew Scheer,657,47.0
tous,170,Justin Trudeau,657,47.0
tous,145,Jagmeet Singh,657,47.0
tous,102,Maxime Bernier,657,47.0
tous,5,Elizabeth May,657,47.0
new,214,Jagmeet Singh,656,48.0
new,148,Justin Trudeau,656,48.0
new,116,Andrew Scheer,656,48.0
new,111,Elizabeth May,656,48.0
new,67,Maxime Bernier,656,48.0
gouvernement,258,Andrew Scheer,642,49.0
gouvernement,187,Jagmeet Singh,642,49.0
gouvernement,126,Maxime Bernier,642,49.0
gouvernement,70,Justin Trudeau,642,49.0
gouvernement,1,Elizabeth May,642,49.0
cette,197,Justin Trudeau,617,50.0
cette,168,Andrew Scheer,617,50.0
cette,168,Jagmeet Singh,617,50.0
cette,80,Maxime Bernier,617,50.0
cette,4,Elizabeth May,617,50.0
time,181,Andrew Scheer,615,51.0
time,137,Jagmeet Singh,615,51.0
time,114,Elizabeth May,615,51.0
time,100,Justin Trudeau,615,51.0
time,83,Maxime Bernier,615,51.0
leur,257,Andrew Scheer,602,52.0
leur,178,Jagmeet Singh,602,52.0
leur,101,Justin Trudeau,602,52.0
leur,64,Maxime Bernier,602,52.0
leur,2,Elizabeth May,602,52.0
gens,396,Jagmeet Singh,597,53.0
gens,93,Justin Trudeau,597,53.0
gens,73,Andrew Scheer,597,53.0
gens,34,Maxime Bernier,597,53.0
gens,1,Elizabeth May,597,53.0
se,200,Jagmeet Singh,592,55.0
se,164,Andrew Scheer,592,55.0
se,121,Maxime Bernier,592,55.0
se,103,Justin Trudeau,592,55.0
se,4,Elizabeth May,592,55.0
aujourdhui,255,Justin Trudeau,592,54.0
aujourdhui,174,Andrew Scheer,592,54.0
aujourdhui,137,Jagmeet Singh,592,54.0
