created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,retweet_count,source,urls,user,user_mentions,quoted_status,quoted_status_id,quoted_status_id_str,date_time,date,date_week,handle,clean_tweet,break_tweet,polarity,subjectivity,about_trudeau,about_scheer,about_may,about_singh,about_bernier
Mon Oct 21 16:02:32 +0000 2019,381,This election isn’t about the next 4 years. It’s about the next 40. Think about the future you want for your kids as you head to the polls. Vote Liberal. #ChooseForward https://t.co/CERBbfGgdq,[{'text': 'ChooseForward'}],1186311817750044675,1186311817750044675,en,"[{'display_url': 'pic.twitter.com/CERBbfGgdq', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186311817750044675/video/1', 'id': 1186010715913621505, 'media_url': 'http://pbs.twimg.com/media/EHWPAnxWwAcTxdU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHWPAnxWwAcTxdU.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/CERBbfGgdq', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 30030, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186010715913621505/vid/640x360/hE3BtxyUofN9fCaT.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186010715913621505/vid/480x270/xZJukFVKZ6aXjt0L.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1186010715913621505/pl/MIVbInJEOlhuy_N5.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186010715913621505/vid/1280x720/V7w7xsuerNt1ZmUJ.mp4?tag=13'}]}}]",89,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 16:02:32+00:00,2019-10-21,2019-10-21,JustinTrudeau,election isnt next 4 years next 40 think future want kids head polls vote liberal chooseforward,This election isn’t about the next 4 years. It’s about the n<br>ext 40. Think about the future you want for your kids as you<br> head to the polls. Vote Liberal. #ChooseForward https://t.c<br>o/CERBbfGgd<br>,0.0,0.041666666666666664,False,False,False,False,False
Mon Oct 21 15:29:00 +0000 2019,2147,"Hadrien helped me vote this morning. For all our kids, make your voice heard and vote today! #ChooseForward https://t.co/cZIm9AXDGy",[{'text': 'ChooseForward'}],1186303376935530496,1186303376935530496,en,"[{'display_url': 'pic.twitter.com/cZIm9AXDGy', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186303376935530496/photo/1', 'id': 1186303357213904896, 'media_url': 'http://pbs.twimg.com/media/EHaYnjqWkAAoXep.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHaYnjqWkAAoXep.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/cZIm9AXDGy'}]",353,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 15:29:00+00:00,2019-10-21,2019-10-21,JustinTrudeau,hadrien helped vote morning kids make voice heard vote today chooseforward,"Hadrien helped me vote this morning. For all our kids, make <br>your voice heard and vote today! #ChooseForward https://t.co<br>/cZIm9AXDG<br>",0.0,0.0,False,False,False,False,False
Mon Oct 21 14:43:02 +0000 2019,3152,"My #MondayMotivation? Canadians. Because this election is about YOU. Your future, your kid’s future. That’s what today is about. Go vote. #ChooseForward","[{'text': 'MondayMotivation'}, {'text': 'ChooseForward'}]",1186291812228648965,1186291812228648965,en,,660,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 14:43:02+00:00,2019-10-21,2019-10-21,JustinTrudeau,mondaymotivation canadians election future kids future thats today go vote chooseforward,"My #MondayMotivation? Canadians. Because this election is ab<br>out YOU. Your future, your kid’s future. That’s what today i<br>s about. Go vote. #ChooseForwar<br>",0.0,0.125,False,False,False,False,False
Mon Oct 21 13:53:15 +0000 2019,971,"Because it does. Vote for #ClimateAction. Vote Liberal.
https://t.co/LYFpWxoNeY #ChooseForward https://t.co/gqv48ulGQQ","[{'text': 'ClimateAction'}, {'text': 'ChooseForward'}]",1186279283930685440,1186279283930685440,en,"[{'display_url': 'pic.twitter.com/gqv48ulGQQ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186279283930685440/photo/1', 'id': 1186279278721355778, 'media_url': 'http://pbs.twimg.com/media/EHaCuASX0AI5RqQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHaCuASX0AI5RqQ.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/gqv48ulGQQ'}]",318,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://how2vote.ca', 'url': 'https://t.co/LYFpWxoNeY'}]","{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 13:53:15+00:00,2019-10-21,2019-10-21,JustinTrudeau,vote climateaction vote liberal chooseforward,"Because it does. Vote for #ClimateAction. Vote Liberal.
http<br>s://t.co/LYFpWxoNeY #ChooseForward https://t.co/gqv48ulGQ<br>",0.0,0.0,False,False,False,False,False
Mon Oct 21 13:09:02 +0000 2019,903,"We started this campaign in BC, and we ended this campaign in BC. #ChooseForward https://t.co/2Q5tifT6Px",[{'text': 'ChooseForward'}],1186268156148539393,1186268156148539393,en,"[{'display_url': 'pic.twitter.com/2Q5tifT6Px', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186268156148539393/photo/1', 'id': 1186268140742828032, 'media_url': 'http://pbs.twimg.com/media/EHZ4lsFW4AAIuDn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHZ4lsFW4AAIuDn.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/2Q5tifT6Px'}]",166,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 13:09:02+00:00,2019-10-21,2019-10-21,JustinTrudeau,started campaign bc ended campaign bc chooseforward,"We started this campaign in BC, and we ended this campaign i<br>n BC. #ChooseForward https://t.co/2Q5tifT6P<br>",0.0,0.0,False,False,False,False,False
Mon Oct 21 12:10:59 +0000 2019,9067,"This is it, Canada. Election Day. The future of our country is up to you. 4 years ago, you chose real change and a better, more positive vision for Canada that we all shared.  Today I’m asking you to keep that vision for Canada in mind. #ChooseForward",[{'text': 'ChooseForward'}],1186253546125176832,1186253546125176832,en,,2136,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 12:10:59+00:00,2019-10-21,2019-10-21,JustinTrudeau,canada election day future country 4 years ago chose real change better positive vision canada shared today im asking keep vision canada mind chooseforward,"This is it, Canada. Election Day. The future of our country <br>is up to you. 4 years ago, you chose real change and a bette<br>r, more positive vision for Canada that we all shared.  Toda<br>y I’m asking you to keep that vision for Canada in mind. #Ch<br>ooseForwar<br>",0.2318181818181818,0.36761363636363636,False,False,False,False,False
Mon Oct 21 00:55:20 +0000 2019,4662,"9 days. 44 campaign stops (plus 1 more in Victoria tonight!).

Only one direction we need our country to go: Forward. #ChooseForward https://t.co/XrQJAnZRMO",[{'text': 'ChooseForward'}],1186083514539806721,1186083514539806721,en,"[{'display_url': 'pic.twitter.com/XrQJAnZRMO', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186083514539806721/video/1', 'id': 1186081306184179712, 'media_url': 'http://pbs.twimg.com/media/EHXPobnX0AA4uiH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EHXPobnX0AA4uiH.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/XrQJAnZRMO', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 66333, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186081306184179712/vid/640x360/9v0HCZCkdiBUai2z.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1186081306184179712/pl/BzbfMBo4uMB9Jrhw.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186081306184179712/vid/1280x720/IsiNAvD5jQjHK0-b.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1186081306184179712/vid/480x270/LyFuhjZKKJ-esNug.mp4?tag=13'}]}}]",1026,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 00:55:20+00:00,2019-10-21,2019-10-21,JustinTrudeau,9 days 44 campaign stops plus 1 victoria tonight one direction need country go forward chooseforward,"9 days. 44 campaign stops (plus 1 more in Victoria tonight!)<br>.

Only one direction we need our country to go: Forward. #C<br>hooseForward https://t.co/XrQJAnZRM<br>",0.0,0.0,False,False,False,False,False
Mon Oct 21 00:14:47 +0000 2019,3680,For a ban on military-style assault rifles. #ChooseForward,[{'text': 'ChooseForward'}],1186073309403865088,1186073309403865088,en,,658,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-21 00:14:47+00:00,2019-10-21,2019-10-21,JustinTrudeau,ban militarystyle assault rifles chooseforward,For a ban on military-style assault rifles. #ChooseForward<br>,0.0,0.0,False,False,False,False,False
Sun Oct 20 23:34:39 +0000 2019,7977,"Andrew Scheer is against gay marriage, against a woman's right to choose, against stronger gun control, and against fighting climate change. #ChooseForward https://t.co/Y90xYXTMl3",[{'text': 'ChooseForward'}],1186063209381486593,1186063209381486593,en,"[{'display_url': 'pic.twitter.com/Y90xYXTMl3', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1186063209381486593/video/1', 'id': 1181352111751258112, 'media_url': 'http://pbs.twimg.com/media/EGUBjSsWsAARph3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EGUBjSsWsAARph3.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 640, 'h': 360, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 360, 'resize': 'fit'}, 'small': {'w': 640, 'h': 360, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/Y90xYXTMl3', 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 10033, 'variants': [{'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1181352111751258112/vid/640x360/Te8O7IDtWVcZAvDH.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1181352111751258112/pl/xHl8ARNf9kN5C91K.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1181352111751258112/vid/1280x720/As36g076Er9LtBa0.mp4?tag=13'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1181352111751258112/vid/480x270/EzdCoSHFrgpOrg4t.mp4?tag=13'}]}}]",2787,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 23:34:39+00:00,2019-10-20,2019-10-14,JustinTrudeau,andrew scheer gay marriage womans right choose stronger gun control fighting climate change chooseforward,"Andrew Scheer is against gay marriage, against a woman's rig<br>ht to choose, against stronger gun control, and against figh<br>ting climate change. #ChooseForward https://t.co/Y90xYXTMl<br>",0.35119047619047616,0.5595238095238095,False,True,False,False,False
Sun Oct 20 23:31:38 +0000 2019,1472,For lower taxes for everyone except the 1%. #ChooseForward,[{'text': 'ChooseForward'}],1186062450686337024,1186062450686337024,en,,304,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,2019-10-20 23:31:38+00:00,2019-10-20,2019-10-14,JustinTrudeau,lower taxes everyone except 1 chooseforward,For lower taxes for everyone except the 1%. #ChooseForward<br>,0.0,0.0,False,False,False,False,False
