created_at,favorite_count,full_text,hashtags,id,id_str,lang,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,media,date_time,date,date_week,handle
Sun Sep 22 23:56:32 +0000 2019,7,"Les Canadiens paient trop cher pour leurs services de téléphonie cellulaire. Un gouvernement libéral réélu réduira le coût de vos services sans fil, économisant ainsi 1 000 $ chaque année à une famille type. https://t.co/5O6BYeA4Wz",[],1175921857184317440,1175921857184317440,fr,"{'created_at': 'Sun Sep 22 23:55:24 +0000 2019', 'full_text': 'Une nouvelle qui fera plaisir à votre mère! Un gouvernement libéral réélu réduira votre facture de cellulaire de 25\xa0%. Mais les conservateurs veulent seulement baisser les impôts des plus riches. \n\nApprenez-en plus\xa0: https://t.co/ndPKbHlQms https://t.co/4mjibjAXr2', 'hashtags': [], 'id': 1175921568045813760, 'id_str': '1175921568045813760', 'lang': 'fr', 'media': [{'display_url': 'pic.twitter.com/4mjibjAXr2', 'expanded_url': 'https://twitter.com/parti_liberal/status/1175921568045813760/video/1', 'id': 1175906716136988673, 'media_url': 'http://pbs.twimg.com/media/EFGtUA4XsAEJM0J.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EFGtUA4XsAEJM0J.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 320, 'h': 568, 'resize': 'fit'}, 'small': {'w': 320, 'h': 568, 'resize': 'fit'}, 'medium': {'w': 320, 'h': 568, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/4mjibjAXr2', 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 60310, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1175906716136988673/pl/pv1N6y16qXz7TSsC.m3u8?tag=13'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175906716136988673/vid/720x1280/AZ8g1eqRzHMp5ZNq.mp4?tag=13'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175906716136988673/vid/320x568/NeH3KH2z9BX9N9Pp.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175906716136988673/vid/360x640/pZdNmVWN1q-jud3e.mp4?tag=13'}]}}], 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [{'expanded_url': 'http://lpc.ca/apps', 'url': 'https://t.co/ndPKbHlQms'}], 'user': {'id': 16397838, 'id_str': '16397838'}, 'user_mentions': []}",1.1759215680458138e+18,1175921568045813760,1.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/parti_liberal/status/1175921568045813760', 'url': 'https://t.co/5O6BYeA4Wz'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 23:56:32+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 23:34:00 +0000 2019,829,"Canadians pay too much for their cell phone bills. And we’re going to change that. A re-elected Liberal government will cut the cost of your wireless services, saving the average family $1,000 a year. https://t.co/fakXhzN8YF",[],1175916184082026497,1175916184082026497,en,"{'created_at': 'Sun Sep 22 23:23:46 +0000 2019', 'favorite_count': 129, 'full_text': 'Something to text your mom about! A Liberal government will cut your cell phone bill by 25%. But Conservatives are only focused on cutting taxes for the wealthy. \n\nLearn more: https://t.co/2Xe4l6uM43 https://t.co/AA3MdVs3yM', 'hashtags': [], 'id': 1175913610989776896, 'id_str': '1175913610989776896', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/AA3MdVs3yM', 'expanded_url': 'https://twitter.com/liberal_party/status/1175913610989776896/video/1', 'id': 1175911868654862336, 'media_url': 'http://pbs.twimg.com/media/EFGuIwsXUAEqjpC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EFGuIwsXUAEqjpC.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 320, 'h': 568, 'resize': 'fit'}, 'small': {'w': 320, 'h': 568, 'resize': 'fit'}, 'medium': {'w': 320, 'h': 568, 'resize': 'fit'}}, 'type': 'video', 'url': 'https://t.co/AA3MdVs3yM', 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 60227, 'variants': [{'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175911868654862336/vid/720x1280/De1UV1BXPoTuAPkn.mp4?tag=13'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175911868654862336/vid/320x568/TFvwyPQBdh0fiqqk.mp4?tag=13'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1175911868654862336/vid/360x640/od1mLVqfLQacuM2m.mp4?tag=13'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1175911868654862336/pl/n9ZBR7Cz3tecrreU.m3u8?tag=13'}]}}], 'retweet_count': 67, 'source': '<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>', 'urls': [{'expanded_url': 'http://lpc.ca/appt', 'url': 'https://t.co/2Xe4l6uM43'}], 'user': {'id': 16397147, 'id_str': '16397147'}, 'user_mentions': []}",1.175913610989777e+18,1175913610989776896,159.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/liberal_party/status/1175913610989776896', 'url': 'https://t.co/fakXhzN8YF'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 23:34:00+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 21:07:25 +0000 2019,1530,"Groceries, rent, cell phone bills - it all adds up. That's why we'll make life more affordable &amp; be there for Canadian families when they need it most. https://t.co/4mtwFl2a7m",[],1175879296767987712,1175879296767987712,en,,,,319.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],"[{'display_url': 'pic.twitter.com/4mtwFl2a7m', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1175879296767987712/photo/1', 'id': 1175879293660016640, 'media_url': 'http://pbs.twimg.com/media/EFGP_M1XsAAfviY.png', 'media_url_https': 'https://pbs.twimg.com/media/EFGP_M1XsAAfviY.png', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'type': 'photo', 'url': 'https://t.co/4mtwFl2a7m'}]",2019-09-22 21:07:25+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 21:05:49 +0000 2019,139,"L’épicerie, le loyer, les factures de cellulaire – tout ça s’additionne. C’est pourquoi on rendra la vie plus abordable et qu’on sera là pour les familles canadiennes lorsqu’elles en ont le plus besoin. https://t.co/fCuuCYyIPW",[],1175878894555193346,1175878894555193346,fr,,,,30.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],"[{'display_url': 'pic.twitter.com/fCuuCYyIPW', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1175878894555193346/photo/1', 'id': 1175878891535314944, 'media_url': 'http://pbs.twimg.com/media/EFGPnyzXsAALkFz.png', 'media_url_https': 'https://pbs.twimg.com/media/EFGPnyzXsAALkFz.png', 'sizes': {'large': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'type': 'photo', 'url': 'https://t.co/fCuuCYyIPW'}]",2019-09-22 21:05:49+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 19:03:21 +0000 2019,3202,"We’re going to cut taxes and cell phone bills, to make your life more affordable. Watch my announcement live: https://t.co/nUqYa2jn9o",[],1175848074008322053,1175848074008322053,en,,,,550.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://lpc.ca/appr', 'url': 'https://t.co/nUqYa2jn9o'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 19:03:21+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 19:03:05 +0000 2019,182,On va réduire les impôts et les factures de cellulaire afin de rendre la vie plus abordable. Regardez mon annonce en direct : https://t.co/nUqYa2jn9o,[],1175848005548826624,1175848005548826624,fr,,,,31.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'http://lpc.ca/appr', 'url': 'https://t.co/nUqYa2jn9o'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 19:03:05+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 15:10:26 +0000 2019,2517,"Gender equality benefits all of us, and we all have a role to play in making it a reality. This Gender Equality Week – and every single day – let’s work together to build a more equal Canada for everyone. 

https://t.co/TbhPECVbBN",[],1175789456231731201,1175789456231731201,en,,,,511.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://www.liberal.ca/gender-equality-week-statement-by-the-leader-of-the-liberal-party-of-canada/', 'url': 'https://t.co/TbhPECVbBN'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 15:10:26+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sun Sep 22 15:10:14 +0000 2019,225,"L’égalité des sexes est bénéfique pour nous tous, et nous avons un rôle à jouer pour que cela se réalise. En cette Semaine de l’égalité des sexes – et chaque jour – on doit travailler ensemble pour bâtir un Canada plus égalitaire pour tous.  

https://t.co/crAVZUY42b",[],1175789409523916802,1175789409523916802,fr,,,,46.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://www.liberal.ca/fr/loccasion-de-la-semaine-de-legalite-des-sexes-declaration-du-chef-du-parti-liberal-du-canada/', 'url': 'https://t.co/crAVZUY42b'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-22 15:10:14+00:00,2019-09-22,2019-09-16,JustinTrudeau
Sat Sep 21 23:07:26 +0000 2019,2062,"Nothing’s more important than spending time with your kids - but raising a family can be expensive. That’s why we’ll give even more support for families. Read how ⤵️

https://t.co/xmMMohUFF0",[],1175547108935503874,1175547108935503874,en,,,,343.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://2019.liberal.ca/our-plan/more-time-money-to-help-families-raise-their-kids/', 'url': 'https://t.co/xmMMohUFF0'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-21 23:07:26+00:00,2019-09-21,2019-09-16,JustinTrudeau
Sat Sep 21 23:07:14 +0000 2019,266,"Il n’y a rien de plus important que de passer du temps avec vos enfants, mais élever une famille est dispendieux. C’est pourquoi on va offrir encore plus de support aux familles. Pour tout savoir ⤵️

https://t.co/CLtu4g5bub",[],1175547058721304577,1175547058721304577,fr,,,,39.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://2019.liberal.ca/fr/notre-plan/plus-de-temps-et-dargent-pour-aider-les-familles-a-elever-leurs-enfants/', 'url': 'https://t.co/CLtu4g5bub'}]","{'id': 14260960, 'id_str': '14260960'}",[],,2019-09-21 23:07:14+00:00,2019-09-21,2019-09-16,JustinTrudeau
