,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,quoted_status,quoted_status_id,quoted_status_id_str,retweet_count,source,urls,user,user_mentions,handle
0,Sat Sep 07 17:28:32 +0000 2019,1044,"Just received a briefing with @HarjitSajjan, @RalphGoodale and @CDS_Canada_CEMD about the latest information on Hurricane Dorian. The safety of Canadians is our number one priority and we’re ready to help Atlantic Canada through this storm.",[],1170388393391529984,1170388393391529984,en,,,,,246.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 413802355, 'id_str': '413802355', 'name': 'Harjit Sajjan', 'screen_name': 'HarjitSajjan'}, {'id': 188359178, 'id_str': '188359178', 'name': 'Ralph Goodale', 'screen_name': 'RalphGoodale'}, {'id': 723208054699790336, 'id_str': '723208054699790336', 'name': 'General Jonathan Vance', 'screen_name': 'CDS_Canada_CEMD'}]",@JustinTrudeau
2,Sat Sep 07 14:15:02 +0000 2019,2024,To everyone in Atlantic Canada bracing for Hurricane Dorian: we’re thinking of you and monitoring the situation closely. Please stay safe &amp; listen to your local officials. https://t.co/v8BKWfrdn0,[],1170339698218348544,1170339698218348544,en,,"{'created_at': 'Fri Sep 06 15:35:04 +0000 2019', 'favorite_count': 83, 'full_text': 'Atlantic Canada: make sure you know what to do if #Dorian hits https://t.co/teREQ7yDJL', 'hashtags': [{'text': 'Dorian'}], 'id': 1169997449597001729, 'id_str': '1169997449597001729', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/teREQ7yDJL', 'expanded_url': 'https://twitter.com/Safety_Canada/status/1169997449597001729/photo/1', 'id': 1169997447415967745, 'media_url': 'http://pbs.twimg.com/media/EDyqesFXsAEV2wD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDyqesFXsAEV2wD.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1436, 'resize': 'fit'}, 'small': {'w': 680, 'h': 477, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 841, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/teREQ7yDJL'}], 'retweet_count': 91, 'source': '<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>', 'urls': [], 'user': {'id': 259861738, 'id_str': '259861738'}, 'user_mentions': []}",1.1699974495970017e+18,1169997449597001729,472.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/safety_canada/status/1169997449597001729', 'url': 'https://t.co/v8BKWfrdn0'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
4,Fri Sep 06 22:18:40 +0000 2019,1480,"Schools are where our kids learn, grow, &amp; start to accomplish their dreams – to see one destroyed like this is heartbreaking. I’m thinking of the all the Parkcrest Elementary School students, teachers, staff &amp; families who have lost an important part of the Kamloops community. https://t.co/ONHIgrLa4x",[],1170099021773529095,1170099021773529095,en,,"{'created_at': 'Fri Sep 06 03:49:23 +0000 2019', 'favorite_count': 26, 'full_text': ""UPDATE: The fire at Parkcrest Elementary in Kamloops, which has already destroyed the school, is expected to burn through the night. Parents should check with the school's website for updates. More here:\nhttps://t.co/xbn4Fu4w0S"", 'hashtags': [], 'id': 1169819861574275077, 'id_str': '1169819861574275077', 'lang': 'en', 'retweet_count': 17, 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'urls': [{'expanded_url': 'https://trib.al/uxsMAUa', 'url': 'https://t.co/xbn4Fu4w0S'}], 'user': {'id': 20711586, 'id_str': '20711586'}, 'user_mentions': []}",1.169819861574275e+18,1169819861574275077,290.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/globalbc/status/1169819861574275077', 'url': 'https://t.co/ONHIgrLa4x'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
6,Fri Sep 06 20:12:39 +0000 2019,1699,"⬆️Over 1.1 million new jobs since 2015
⬆️81,100 new jobs in August alone
⬆️A strong economy, and growing middle class
➕Lots more work to do. #ChooseForward https://t.co/tar7R1p9jT",[{'text': 'ChooseForward'}],1170067305818206208,1170067305818206208,en,,"{'created_at': 'Fri Sep 06 19:29:13 +0000 2019', 'favorite_count': 550, 'full_text': 'The Liberal team was elected in 2015 on a platform to grow our economy and invest in our middle class. Since then, Canadians have created over 1.1 million new jobs. \n\nLet’s keep building on this progress together 🇨🇦 https://t.co/0Rkn8TFmrT', 'hashtags': [], 'id': 1170056377789755392, 'id_str': '1170056377789755392', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/0Rkn8TFmrT', 'expanded_url': 'https://twitter.com/liberal_party/status/1170056377789755392/photo/1', 'id': 1170054875671121920, 'media_url': 'http://pbs.twimg.com/media/EDzetdAXUAAtUrQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDzetdAXUAAtUrQ.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 676, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/0Rkn8TFmrT'}], 'retweet_count': 169, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'urls': [], 'user': {'id': 16397147, 'id_str': '16397147'}, 'user_mentions': []}",1.1700563777897554e+18,1170056377789755392,435.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/liberal_party/status/1170056377789755392', 'url': 'https://t.co/tar7R1p9jT'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
8,Fri Sep 06 17:10:56 +0000 2019,1618,"Great news today: More good middle class jobs for Canadians, and a strong &amp; growing economy. Together, we’ll keep building on our progress. #ChooseForward https://t.co/xVTnvkFQoo",[{'text': 'ChooseForward'}],1170021578282799104,1170021578282799104,en,,,,,329.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://www.bloomberg.com/news/articles/2019-09-06/canada-s-jobs-market-surprises-again-with-monster-gain', 'url': 'https://t.co/xVTnvkFQoo'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
11,Fri Sep 06 14:54:09 +0000 2019,1330,"Over one million new jobs since November 2015 – and 81,100 new jobs in August alone. There’s more work to do – we’ll continue investing in Canadians to grow our economy, create even more jobs, and keep moving forward together. #ChooseForward https://t.co/aMga79Kij5",[{'text': 'ChooseForward'}],1169987155126566912,1169987155126566912,en,"[{'display_url': 'pic.twitter.com/aMga79Kij5', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169987155126566912/photo/1', 'id': 1169987151070711812, 'media_url': 'http://pbs.twimg.com/media/EDyhHXNXUAQ74YY.png', 'media_url_https': 'https://pbs.twimg.com/media/EDyhHXNXUAQ74YY.png', 'sizes': {'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/aMga79Kij5'}]",,,,349.0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
12,Fri Sep 06 13:08:55 +0000 2019,7773,"You’ll have a whole country with you tomorrow, @Bandreescu_! 🇨🇦 #SheTheNorth https://t.co/hhYK8cxnuQ",[{'text': 'SheTheNorth'}],1169960669967540224,1169960669967540224,en,,"{'created_at': 'Fri Sep 06 03:14:15 +0000 2019', 'favorite_count': 7962, 'full_text': '""O Canada!""\n\n🇨🇦 Bianca Andreescu is off to the #USOpen final! https://t.co/SdERaIdQXY', 'hashtags': [{'text': 'USOpen'}], 'id': 1169811019016953856, 'id_str': '1169811019016953856', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/SdERaIdQXY', 'expanded_url': 'https://twitter.com/TSN_Sports/status/1169811019016953856/photo/1', 'id': 1169811012293468160, 'media_url': 'http://pbs.twimg.com/media/EDwA6vIXoAA0mRm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDwA6vIXoAA0mRm.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/SdERaIdQXY'}], 'retweet_count': 1569, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'urls': [], 'user': {'id': 25375962, 'id_str': '25375962'}, 'user_mentions': []}",1.1698110190169539e+18,1169811019016953856,1095.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/tsn_sports/status/1169811019016953856', 'url': 'https://t.co/hhYK8cxnuQ'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 2752812749, 'id_str': '2752812749', 'name': 'Bianca', 'screen_name': 'Bandreescu_'}]",@JustinTrudeau
14,Fri Sep 06 12:03:14 +0000 2019,4305,"Since 2015, we’ve worked hard to grow the middle class &amp; help people build better lives for their families. But there's more work to do – our kids, neighbours, and fellow Canadians are counting on us to keep going. Read why I’m for choosing forward ⤵️ https://t.co/P9k1cz0LhP",[],1169944142010605569,1169944142010605569,en,,,,,721.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://www.thestar.com/opinion/contributors/2019/09/05/justin-trudeau-canadians-are-counting-on-us-to-keep-moving-forward.html', 'url': 'https://t.co/P9k1cz0LhP'}]","{'id': 14260960, 'id_str': '14260960'}",[],@JustinTrudeau
16,Fri Sep 06 02:20:55 +0000 2019,1193,We must counter hatred and violent extremism online – and the Christchurch Call to Action is an important step in getting there. PM @jacindaardern and I spoke today about the progress we’ve made so far. More on our call: https://t.co/K5gBwdHljA,[],1169797594937286656,1169797594937286656,en,,,,,256.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2019/09/05/prime-minister-justin-trudeau-speaks-prime-minister-new-zealand-jacinda', 'url': 'https://t.co/K5gBwdHljA'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 22959763, 'id_str': '22959763', 'name': 'Jacinda Ardern', 'screen_name': 'jacindaardern'}]",@JustinTrudeau
18,Fri Sep 06 01:36:38 +0000 2019,686,"Come for the food, stay for the conversations! @MicheleFisherDC and I stopped by Mercato Fine Foods in Bolton, ON, today to chat with locals. https://t.co/bT9e3b1cdZ",[],1169786452118560768,1169786452118560768,en,"[{'display_url': 'pic.twitter.com/bT9e3b1cdZ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169786452118560768/photo/1', 'id': 1169786447018303488, 'media_url': 'http://pbs.twimg.com/media/EDvqk2WXoAAcmxt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDvqk2WXoAAcmxt.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/bT9e3b1cdZ'}, {'display_url': 'pic.twitter.com/bT9e3b1cdZ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169786452118560768/photo/1', 'id': 1169786448284966913, 'media_url': 'http://pbs.twimg.com/media/EDvqk7EXYAE8oUB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDvqk7EXYAE8oUB.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/bT9e3b1cdZ'}]",,,,92.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 3325248370, 'id_str': '3325248370', 'name': 'Michele Fisher', 'screen_name': 'MicheleFisherDC'}]",@JustinTrudeau
