word,count,handle,total_count,rank
elxn43,135,theJagmeetSingh,227,1.0
elxn43,48,JustinTrudeau,227,1.0
elxn43,34,ElizabethMay,227,1.0
elxn43,7,AndrewScheer,227,1.0
elxn43,3,MaximeBernier,227,1.0
get,160,AndrewScheer,224,2.0
get,23,theJagmeetSingh,224,2.0
get,22,JustinTrudeau,224,2.0
get,13,MaximeBernier,224,2.0
get,6,ElizabethMay,224,2.0
canadians,67,JustinTrudeau,179,3.0
canadians,57,AndrewScheer,179,3.0
canadians,27,MaximeBernier,179,3.0
canadians,25,theJagmeetSingh,179,3.0
canadians,3,ElizabethMay,179,3.0
gpc,164,ElizabethMay,164,4.0
climate,74,ElizabethMay,158,5.0
climate,40,JustinTrudeau,158,5.0
climate,35,MaximeBernier,158,5.0
climate,9,theJagmeetSingh,158,5.0
government,61,AndrewScheer,151,6.0
government,30,theJagmeetSingh,151,6.0
government,30,JustinTrudeau,151,6.0
government,25,MaximeBernier,151,6.0
government,5,ElizabethMay,151,6.0
ahead,148,AndrewScheer,150,7.0
ahead,1,MaximeBernier,150,7.0
ahead,1,JustinTrudeau,150,7.0
people,82,theJagmeetSingh,144,8.0
people,30,JustinTrudeau,144,8.0
people,18,AndrewScheer,144,8.0
people,9,ElizabethMay,144,8.0
people,5,MaximeBernier,144,8.0
time,78,AndrewScheer,127,9.0
time,19,theJagmeetSingh,127,9.0
time,12,ElizabethMay,127,9.0
time,11,JustinTrudeau,127,9.0
time,7,MaximeBernier,127,9.0
plan,55,AndrewScheer,125,10.0
plan,39,JustinTrudeau,125,10.0
plan,15,ElizabethMay,125,10.0
plan,11,theJagmeetSingh,125,10.0
plan,5,MaximeBernier,125,10.0
make,47,JustinTrudeau,122,11.0
make,33,theJagmeetSingh,122,11.0
make,22,AndrewScheer,122,11.0
make,11,MaximeBernier,122,11.0
make,9,ElizabethMay,122,11.0
canada,40,JustinTrudeau,115,12.0
canada,22,MaximeBernier,115,12.0
canada,22,AndrewScheer,115,12.0
canada,16,ElizabethMay,115,12.0
canada,15,theJagmeetSingh,115,12.0
today,36,theJagmeetSingh,114,13.0
today,35,AndrewScheer,114,13.0
today,32,JustinTrudeau,114,13.0
today,7,ElizabethMay,114,13.0
today,4,MaximeBernier,114,13.0
new,53,AndrewScheer,114,14.0
new,22,JustinTrudeau,114,14.0
new,20,theJagmeetSingh,114,14.0
new,13,MaximeBernier,114,14.0
new,6,ElizabethMay,114,14.0
help,77,AndrewScheer,108,15.0
help,17,JustinTrudeau,108,15.0
help,8,theJagmeetSingh,108,15.0
help,4,MaximeBernier,108,15.0
help,2,ElizabethMay,108,15.0
chooseforward,106,JustinTrudeau,106,16.0
vote,32,ElizabethMay,105,17.0
vote,30,JustinTrudeau,105,17.0
vote,23,theJagmeetSingh,105,17.0
vote,16,MaximeBernier,105,17.0
vote,4,AndrewScheer,105,17.0
conservative,82,AndrewScheer,100,18.0
conservative,9,MaximeBernier,100,18.0
conservative,9,JustinTrudeau,100,18.0
money,73,AndrewScheer,98,19.0
money,12,MaximeBernier,98,19.0
money,8,JustinTrudeau,98,19.0
money,4,theJagmeetSingh,98,19.0
money,1,ElizabethMay,98,19.0
tax,57,AndrewScheer,93,20.0
tax,15,MaximeBernier,93,20.0
tax,14,JustinTrudeau,93,20.0
tax,7,theJagmeetSingh,93,20.0
trudeau,50,AndrewScheer,88,21.0
trudeau,22,theJagmeetSingh,88,21.0
trudeau,14,MaximeBernier,88,21.0
trudeau,2,ElizabethMay,88,21.0
thats,39,JustinTrudeau,85,23.0
thats,22,theJagmeetSingh,85,23.0
thats,12,AndrewScheer,85,23.0
thats,11,MaximeBernier,85,23.0
thats,1,ElizabethMay,85,23.0
keep,41,JustinTrudeau,85,22.0
keep,22,AndrewScheer,85,22.0
keep,10,MaximeBernier,85,22.0
keep,8,theJagmeetSingh,85,22.0
keep,4,ElizabethMay,85,22.0
green,66,ElizabethMay,81,24.0
green,9,AndrewScheer,81,24.0
green,3,MaximeBernier,81,24.0
green,3,JustinTrudeau,81,24.0
like,23,theJagmeetSingh,79,25.0
like,22,JustinTrudeau,79,25.0
like,16,AndrewScheer,79,25.0
like,14,MaximeBernier,79,25.0
like,4,ElizabethMay,79,25.0
cdnpoli,44,JustinTrudeau,79,26.0
cdnpoli,32,ElizabethMay,79,26.0
cdnpoli,1,MaximeBernier,79,26.0
cdnpoli,1,theJagmeetSingh,79,26.0
cdnpoli,1,AndrewScheer,79,26.0
im,27,theJagmeetSingh,77,27.0
im,25,AndrewScheer,77,27.0
im,16,JustinTrudeau,77,27.0
im,8,MaximeBernier,77,27.0
im,1,ElizabethMay,77,27.0
need,29,JustinTrudeau,76,28.0
need,17,theJagmeetSingh,76,28.0
need,14,MaximeBernier,76,28.0
need,10,ElizabethMay,76,28.0
need,6,AndrewScheer,76,28.0
us,23,JustinTrudeau,74,29.0
us,15,MaximeBernier,74,29.0
us,15,theJagmeetSingh,74,29.0
us,13,AndrewScheer,74,29.0
us,8,ElizabethMay,74,29.0
one,27,MaximeBernier,72,30.0
one,18,JustinTrudeau,72,30.0
one,11,theJagmeetSingh,72,30.0
one,10,AndrewScheer,72,30.0
one,6,ElizabethMay,72,30.0
watch,42,AndrewScheer,70,33.0
watch,14,MaximeBernier,70,33.0
watch,10,JustinTrudeau,70,33.0
watch,2,theJagmeetSingh,70,33.0
watch,2,ElizabethMay,70,33.0
day,19,AndrewScheer,70,32.0
day,18,JustinTrudeau,70,32.0
day,17,theJagmeetSingh,70,32.0
day,8,MaximeBernier,70,32.0
day,8,ElizabethMay,70,32.0
campaign,17,AndrewScheer,70,31.0
campaign,16,ElizabethMay,70,31.0
campaign,15,MaximeBernier,70,31.0
campaign,14,JustinTrudeau,70,31.0
campaign,8,theJagmeetSingh,70,31.0
live,48,AndrewScheer,69,34.0
live,15,JustinTrudeau,69,34.0
live,3,MaximeBernier,69,34.0
live,2,ElizabethMay,69,34.0
live,1,theJagmeetSingh,69,34.0
country,26,JustinTrudeau,68,35.0
country,23,AndrewScheer,68,35.0
country,9,theJagmeetSingh,68,35.0
country,7,MaximeBernier,68,35.0
country,3,ElizabethMay,68,35.0
well,42,JustinTrudeau,65,36.0
well,15,theJagmeetSingh,65,36.0
well,5,ElizabethMay,65,36.0
well,2,MaximeBernier,65,36.0
well,1,AndrewScheer,65,36.0
want,21,MaximeBernier,64,37.0
want,16,theJagmeetSingh,64,37.0
want,14,JustinTrudeau,64,37.0
want,9,AndrewScheer,64,37.0
want,4,ElizabethMay,64,37.0
going,27,JustinTrudeau,64,38.0
going,26,theJagmeetSingh,64,38.0
going,7,AndrewScheer,64,38.0
going,3,ElizabethMay,64,38.0
going,1,MaximeBernier,64,38.0
years,25,MaximeBernier,63,39.0
years,21,JustinTrudeau,63,39.0
years,11,theJagmeetSingh,63,39.0
